12-01-2017,00:00:02, 270.7 , 95.3 , 79.1 , 135.5 , 174.5 , 461.7 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 61.7 , 43.4 , 3 , 66.2 , 0 , 69.1 , 39.1 , 10.72 , 0 , 11.26 , 11.91 , 35 , 19 , 20 , 9 , 60.02 , .023 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:00:18, 280.3 , 113.3 , 80.1 , 134.5 , 165.6 , 453.7 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 61.5 , 43.6 , 3 , 68.1 , 0 , 59.5 , 37.9 , 10.92 , 0 , 11.23 , 11.61 , 35 , 19 , 20 , 9 , 60.02 , .035 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 116 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:00:32, 258.4 , 110.6 , 80.6 , 134 , 152.7 , 441.4 , 0 , 0 , 164.3 , 258 , 257.9 , 0 , 0 , 61.4 , 43.7 , 3 , 56 , 0 , 57.8 , 38.7 , 10.81 , 0 , 10.97 , 11.44 , 35 , 19 , 20 , 9 , 60.06 , .041 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 112 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:00:47, 279.2 , 114.6 , 81.6 , 133 , 162.2 , 451.9 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 61.2 , 43.9 , 3 , 60.7 , 0 , 63.4 , 38 , 10.57 , 0 , 10.76 , 11.34 , 35 , 19 , 20 , 9 , 60 , .025 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 120 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:01:02, 272.9 , 120.7 , 82.1 , 132.5 , 154 , 444.2 , 0 , 0 , 164.6 , 258 , 257.9 , 0 , 0 , 61.1 , 44 , 3 , 58.1 , 0 , 57.7 , 38.1 , 10.3 , 0 , 10.63 , 11.16 , 35 , 19 , 20 , 9 , 60.02 , .018 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 124 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:02:01, 275.8 , 98.8 , 84.6 , 130 , 176.6 , 469.2 , 0 , 0 , 164.6 , 258 , 257.9 , 0 , 0 , 60.6 , 44.5 , 3 , 65.8 , 0 , 70.7 , 39.9 , 10.16 , 0 , 10.96 , 11.68 , 35 , 19 , 20 , 9 , 60.02 , .025 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:03:02, 257.2 , 89.2 , 81.6 , 126.5 , 173.7 , 463.3 , 0 , 0 , 164.6 , 258 , 257.9 , 0 , 0 , 60.7 , 45.2 , 3 , 65.2 , 0 , 68.6 , 39.8 , 10.93 , 0 , 11.4 , 12.05 , 35 , 19 , 20 , 9 , 60.08 , .021 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 90 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:04:02, 258.5 , 96.6 , 83.1 , 124 , 163.9 , 455 , 0 , 0 , 164 , 258 , 257.9 , 0 , 0 , 60.2 , 45.7 , 3 , 64.5 , 0 , 63.9 , 35.4 , 10.72 , 0 , 11.12 , 12.04 , 35 , 19 , 20 , 9 , 60.04 , .034 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 99 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
DATE,TIME,Village Load,Diesel kW,Diesel Min kW,Diesel Max kW,Wind Output,Wind Allowed,Dispatch Wait,SLC Load,SLC Temp,SLC Fixed kW,SLC Thermal kW,SLC Max kW,SLC Avg kW,Wind Max kW,Wind Min kW,# Turbines On-Line,WTG1 Output,WTG2 Output,WTG3 Output,WTG4 Output,WTG1 WindSpd,WTG2 WindSpd,WTG3 WindSpd,WTG4 WindSpd,WTG1 Starts,WTG2 Starts,WTG3 Starts,WTG4 Starts,Frequency,Instability,Wind status,SLC status,Diesel status,System Wind Allowed,Outage Count,ILC kW,ILC Temp,Diesel1 kW,Diesel2 kW,Diesel3 kW,Diesel4 kW,WTG1 Faults L,WTG1 Faults H,WTG2 Faults L,WTG2 Faults H,WTG3 Faults L,WTG3 Faults H,WTG3 Faults L,WTG4 Faults H,ILC Status,ILC kWhrs
12-01-2017,00:05:02, 308.9 , 121.6 , 86.6 , 133.2 , 175.3 , 470 , 0 , 0 , 163.6 , 258 , 257.9 , 0 , 0 , 59.5 , 46.4 , 3 , 68.7 , 0 , 66.6 , 40 , 10.71 , 0 , 10.97 , 11.77 , 35 , 19 , 20 , 9 , 59.88 , .05 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 128 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
