SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
12/25/2007 00:00:00	1.6	0.4	2.6	0.7	1.5	0.4	2.4	1.0	1.6	0.4	2.6	0.7	1.9	0.4	3.0	0.4									132	9	139	260	146	9	154	350					-20.2	0.0	-20.1	-20.2								
12/25/2007 00:10:00	1.5	0.3	2.3	0.7	1.4	0.4	2.1	1.0	1.5	0.4	2.6	0.4	1.6	0.4	3.0	0.4									145	13	137	260	156	11	154	350					-20.2	0.0	-20.1	-20.1								
12/25/2007 00:20:00	1.7	0.3	2.3	0.7	1.7	0.2	2.1	1.3	1.6	0.3	2.3	0.7	1.5	0.3	2.3	1.1									149	7	151	260	160	7	164	350					-20.2	0.0	-20.1	-20.2								
12/25/2007 00:30:00	1.7	0.4	2.6	0.4	1.7	0.2	2.1	1.3	1.6	0.4	2.6	0.7	1.5	0.3	2.3	0.4									148	10	160	260	163	9	157	350					-20.2	0.0	-20.1	-20.2								
12/25/2007 00:40:00	1.9	0.2	2.3	1.1	1.8	0.2	2.1	1.6	1.7	0.3	2.6	1.1	1.6	0.3	2.3	0.7									148	8	151	260	162	8	166	350					-20.2	0.0	-20.1	-20.2								
12/25/2007 00:50:00	1.8	0.2	2.3	1.1	1.1	0.2	1.9	1.0	1.7	0.3	2.3	0.7	1.6	0.3	2.3	0.7									149	6	153	260	165	7	159	350					-20.4	0.0	-20.1	-20.6								
12/25/2007 01:00:00	1.5	0.2	2.3	1.1	1.1	0.2	1.9	1.0	1.4	0.2	1.9	0.7	1.4	0.4	2.3	0.4									145	8	153	260	156	6	152	350					-20.5	0.0	-20.2	-20.6								
12/25/2007 01:10:00	1.7	0.3	2.3	0.7	1.7	0.2	2.1	1.0	1.5	0.3	2.3	0.7	1.5	0.3	2.3	0.7									148	7	156	260	163	6	176	350					-20.6	0.0	-20.4	-20.8								
12/25/2007 01:20:00	1.8	0.2	2.3	1.1	1.8	0.2	2.1	1.3	1.7	0.2	2.3	1.1	1.7	0.2	2.3	1.1									154	7	151	260	167	7	155	350					-20.5	0.2	-20.1	-20.8								
12/25/2007 01:30:00	1.4	0.3	1.9	0.7	1.5	0.3	2.1	1.0	1.4	0.3	2.3	0.7	1.6	0.4	2.6	0.7									136	9	145	260	155	8	158	350					-20.2	0.0	-20.1	-20.4								
12/25/2007 01:40:00	1.4	0.4	2.3	0.4	1.0	0.1	1.6	1.0	1.3	0.3	2.3	0.4	1.2	0.4	2.3	0.4									143	9	147	260	165	8	170	350					-20.4	0.0	-20.2	-20.4								
12/25/2007 01:50:00	1.5	0.3	2.3	0.7	1.0	0.1	1.6	1.0	1.4	0.3	2.3	0.7	1.2	0.4	1.9	0.4									152	10	158	260	176	12	174	350					-20.2	0.0	-20.1	-20.4								
12/25/2007 02:00:00	1.5	0.3	2.6	0.7	1.0	0.0	1.6	1.0	1.3	0.2	2.3	0.7	1.3	0.2	1.9	0.7									156	8	181	260	183	7	196	350					-20.2	0.0	-20.1	-20.2								
12/25/2007 02:10:00	1.3	0.3	1.9	0.7	1.0	0.0	1.0	1.0	0.9	0.3	1.9	0.4	1.1	0.3	1.9	0.4									152	9	149	260	180	8	350	350					-20.2	0.0	-20.1	-20.2								
