SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
07/06/2008 00:00:00	10.9	0.6	11.8	9.1	10.5	0.5	11.9	9.0	9.6	0.6	11.1	8.4	9.1	0.6	10.7	7.6									14	2	13	260	6	3	2	350					17.6	0.0	17.6	17.3								
07/06/2008 00:10:00	11.1	0.5	12.2	9.5	10.7	0.5	11.6	9.3	9.8	0.5	11.1	8.4	9.2	0.6	10.7	6.8									14	2	13	260	7	3	3	350					17.8	0.0	17.9	17.6								
07/06/2008 00:20:00	10.4	0.5	11.5	8.8	10.0	0.5	11.3	8.4	9.0	0.6	10.3	7.6	8.5	0.6	10.3	6.8									15	3	12	260	8	3	4	350					17.5	0.0	17.9	17.3								
07/06/2008 00:30:00	10.2	0.5	11.1	8.8	9.8	0.5	11.0	8.2	8.8	0.6	9.9	6.8	8.4	0.7	9.9	6.8									15	2	11	260	8	3	12	350					17.3	0.0	17.6	17.0								
07/06/2008 00:40:00	9.3	0.5	9.9	8.0	9.2	0.4	10.2	7.9	8.1	0.5	9.1	6.8	7.9	0.6	9.1	6.5									20	3	17	260	13	3	8	350					16.9	0.0	17.0	16.7								
07/06/2008 00:50:00	9.0	0.5	10.3	7.2	8.9	0.5	10.4	7.3	7.8	0.6	9.5	6.1	7.7	0.7	9.9	5.7									17	3	14	260	11	3	8	350					16.7	0.0	16.7	16.5								
07/06/2008 01:00:00	8.9	0.6	10.3	6.5	8.7	0.6	10.2	6.7	7.7	0.6	9.1	5.3	7.5	0.7	9.1	5.3									16	3	14	260	8	3	5	350					16.3	0.1	16.7	15.9								
07/06/2008 01:10:00	8.8	0.4	9.9	8.0	8.8	0.4	9.9	7.9	7.8	0.4	8.8	6.8	7.4	0.5	8.8	6.1									16	2	13	260	9	2	8	350					15.8	0.0	15.9	15.3								
07/06/2008 01:20:00	8.3	0.3	9.1	7.2	8.6	0.4	9.3	7.6	7.6	0.4	8.4	6.5	7.2	0.4	8.4	5.7									18	2	15	260	10	2	6	350					15.2	0.1	15.6	15.1								
07/06/2008 01:30:00	7.7	0.4	8.8	6.8	8.7	0.3	9.3	8.2	7.5	0.3	8.0	6.8	7.6	0.2	8.4	6.8									20	2	14	260	12	1	8	350					14.8	0.0	15.1	14.8								
07/06/2008 01:40:00	7.0	0.3	8.0	6.1	7.8	0.7	9.0	6.7	6.6	0.6	8.0	5.7	7.2	0.3	8.0	6.5									26	3	17	260	14	2	8	350					14.7	0.0	14.8	14.8								
07/06/2008 01:50:00	6.8	0.2	7.6	6.1	7.1	0.5	8.4	6.4	6.1	0.4	7.6	5.3	6.7	0.6	8.0	5.7									29	3	30	260	17	3	9	350					14.7	0.0	14.8	14.8								
07/06/2008 02:00:00	7.0	0.3	8.0	6.5	8.3	0.3	9.0	7.6	7.1	0.4	8.0	6.5	7.6	0.4	8.4	6.5									20	2	17	260	11	2	7	350					14.6	0.0	14.8	14.5								
07/06/2008 02:10:00	6.8	0.3	8.0	6.1	8.0	0.4	9.0	7.3	6.8	0.4	7.6	6.1	7.4	0.3	8.0	6.5									24	3	19	260	13	2	8	350					14.4	0.0	14.5	14.2								
07/06/2008 02:20:00	7.1	0.3	7.6	6.1	8.6	0.3	9.3	7.6	7.4	0.4	8.0	6.5	7.7	0.4	8.8	6.5									18	1	17	260	11	1	7	350					14.2	0.0	14.5	14.2								
