SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
02/15/2008 00:00:00	10.3	0.4	11.1	9.1	9.7	0.5	10.4	8.2	9.6	0.5	10.7	8.0	8.9	0.5	9.9	7.2									291	2	289	260	287	4	281	350					-25.1	0.0	-24.9	-25.2								
02/15/2008 00:10:00	10.4	0.5	11.8	8.4	9.7	0.5	11.3	8.2	9.7	0.6	11.5	8.4	9.1	0.6	10.7	7.6									293	3	294	260	289	5	291	350					-25.0	0.0	-24.7	-25.2								
02/15/2008 00:20:00	10.9	0.5	12.6	9.1	10.4	0.6	12.4	8.7	10.3	0.6	12.2	8.4	9.7	0.7	11.8	8.0									291	3	288	260	288	4	297	350					-24.8	0.0	-24.6	-24.9								
02/15/2008 00:30:00	10.2	0.4	11.5	8.4	9.6	0.5	11.3	7.6	9.5	0.5	11.1	7.6	9.0	0.6	10.7	7.2									289	3	290	260	286	3	293	350					-24.9	0.1	-24.6	-25.2								
02/15/2008 00:40:00	10.6	0.5	11.5	8.8	10.0	0.5	11.0	8.2	10.0	0.5	11.1	8.4	9.3	0.6	10.7	8.0									290	3	276	260	285	4	291	350					-25.0	0.0	-24.7	-25.2								
02/15/2008 00:50:00	10.3	0.5	11.5	9.1	9.6	0.5	10.7	8.2	9.8	0.5	10.7	8.0	9.1	0.5	10.7	7.6									287	3	289	260	283	4	284	350					-25.1	0.0	-24.9	-25.2								
02/15/2008 01:00:00	11.0	0.5	12.2	9.1	10.1	0.5	11.3	8.7	10.4	0.6	11.8	9.1	9.7	0.6	11.5	8.4									289	3	287	260	286	3	285	350					-25.0	0.1	-24.7	-25.2								
02/15/2008 01:10:00	11.0	0.6	12.2	9.1	10.0	0.6	11.9	8.7	10.3	0.7	12.6	8.4	9.6	0.7	11.5	8.0									291	3	283	260	287	5	294	350					-24.8	0.2	-24.6	-25.1								
02/15/2008 01:20:00	11.1	0.5	13.0	9.1	10.0	0.5	11.9	7.9	10.5	0.6	12.6	8.4	9.7	0.6	11.5	8.0									291	3	289	260	287	4	296	350					-24.7	0.1	-24.4	-24.9								
02/15/2008 01:30:00	11.1	0.4	12.2	9.9	9.9	0.4	10.7	8.7	10.5	0.5	11.5	9.1	9.7	0.5	11.1	8.0									289	2	285	260	285	3	291	350					-24.7	0.1	-24.6	-24.7								
02/15/2008 01:40:00	10.0	0.8	11.5	8.0	8.9	0.7	10.4	6.7	9.4	0.8	11.1	7.2	8.8	0.7	10.7	7.2									286	4	287	260	282	4	283	350					-24.7	0.1	-24.6	-25.1								
02/15/2008 01:50:00	8.1	0.5	9.9	6.8	7.0	0.5	8.2	5.9	8.0	0.7	9.5	6.5	7.3	0.6	8.8	6.1									281	5	279	260	277	4	284	350					-25.2	0.2	-24.7	-25.6								
02/15/2008 02:00:00	8.4	0.5	9.5	6.8	7.3	0.5	8.4	5.9	8.1	0.6	9.5	6.8	7.7	0.6	8.8	5.7									281	4	280	260	276	5	272	350					-25.5	0.0	-25.2	-25.6								
02/15/2008 02:10:00	8.3	0.4	9.1	7.2	7.1	0.4	8.2	6.2	8.0	0.4	8.8	6.8	7.5	0.6	9.1	5.7									282	4	280	260	277	4	282	350					-25.4	0.1	-25.2	-25.7								
