SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/20/2008 00:00:00	3.7	0.1	4.2	3.4	3.8	0.1	4.1	3.6	3.3	0.2	3.8	3.0	3.6	0.2	3.8	3.0									88	1	89	260	80	0	78	350					14.1	0.0	14.2	14.0								
08/20/2008 00:10:00	3.6	0.2	3.8	3.4	3.9	0.1	4.1	3.6	3.3	0.2	3.4	3.0	3.6	0.2	3.8	3.0									84	3	87	260	78	2	77	350					14.0	0.0	14.2	14.0								
08/20/2008 00:20:00	3.6	0.2	4.2	3.4	3.7	0.1	3.9	3.3	3.2	0.2	3.4	2.6	3.4	0.2	3.8	3.0									79	0	78	260	73	0	71	350					13.3	0.1	14.0	13.2								
08/20/2008 00:30:00	3.6	0.2	3.8	3.4	3.7	0.1	3.9	3.6	3.2	0.2	3.4	3.0	3.4	0.2	3.8	3.0									79	1	78	260	72	0	70	350					13.2	0.0	13.4	13.2								
08/20/2008 00:40:00	3.5	0.2	3.8	3.0	3.6	0.1	3.9	3.3	3.1	0.2	3.4	2.6	3.4	0.2	3.8	3.0									81	1	80	260	72	0	70	350					13.4	0.0	13.7	13.4								
08/20/2008 00:50:00	3.5	0.2	3.8	3.0	3.7	0.1	3.9	3.3	3.1	0.2	3.4	2.6	3.4	0.2	3.8	3.0									79	1	79	260	72	0	70	350					13.4	0.0	13.7	13.4								
08/20/2008 01:00:00	3.3	0.2	3.8	3.0	3.5	0.2	3.9	3.3	2.9	0.2	3.4	2.6	3.1	0.2	3.4	2.6									68	6	60	260	64	5	56	350					13.2	0.0	13.4	13.2								
08/20/2008 01:10:00	3.4	0.2	3.8	3.0	3.6	0.1	3.9	3.3	2.9	0.2	3.4	2.6	3.1	0.2	3.4	2.6									55	3	58	260	50	4	45	350					12.9	0.0	13.2	12.9								
08/20/2008 01:20:00	3.8	0.3	4.6	3.4	4.2	0.3	4.7	3.6	3.5	0.4	4.2	2.6	3.6	0.3	4.2	3.0									50	2	47	260	46	2	40	350					12.7	0.0	12.9	12.4								
08/20/2008 01:30:00	4.1	0.2	4.6	3.8	4.5	0.1	4.7	4.1	3.8	0.2	4.2	3.4	3.9	0.2	4.2	3.4									51	1	50	260	43	0	40	350					12.4	0.1	12.9	11.8								
08/20/2008 01:40:00	3.9	0.2	4.2	3.4	4.4	0.1	4.7	4.1	3.7	0.2	4.2	3.4	3.8	0.2	4.2	3.4									47	3	50	260	40	3	40	350					11.6	0.2	12.1	11.3								
08/20/2008 01:50:00	4.2	0.2	4.6	3.8	4.7	0.2	5.0	4.4	4.0	0.2	4.2	3.4	3.8	0.2	4.6	3.4									39	1	37	260	31	2	29	350					11.2	0.0	11.3	11.0								
08/20/2008 02:00:00	4.5	0.2	4.9	4.2	4.9	0.1	5.3	4.7	4.2	0.2	4.6	3.8	4.1	0.2	4.6	3.8									38	1	37	260	28	1	26	350					11.1	0.0	11.3	11.0								
08/20/2008 02:10:00	4.7	0.2	5.3	4.6	5.0	0.2	5.3	4.7	4.3	0.2	4.6	3.8	4.1	0.2	4.6	3.8									35	1	36	260	24	1	23	350					11.0	0.0	11.0	11.0								
08/20/2008 02:20:00	4.6	0.2	4.9	4.2	5.1	0.1	5.3	4.7	4.4	0.2	4.9	3.8	4.5	0.3	5.3	3.8									33	2	34	260	23	0	20	350					10.9	0.0	11.0	10.8								
