SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
07/07/2008 00:00:00	9.1	0.4	9.9	8.0	9.4	0.4	10.2	7.9	8.4	0.4	9.5	6.8	8.0	0.6	9.1	6.1									18	2	16	260	11	2	8	350					15.7	0.0	15.9	15.6								
07/07/2008 00:10:00	8.4	0.4	9.5	7.2	9.4	0.3	10.2	8.7	8.4	0.3	9.1	7.2	8.0	0.6	9.1	6.5									20	2	15	260	11	2	10	350					15.5	0.0	15.6	15.3								
07/07/2008 00:20:00	8.9	0.6	10.3	7.2	9.5	0.4	10.4	8.4	8.6	0.4	9.5	7.6	8.1	0.5	9.5	6.8									17	2	13	260	10	2	7	350					15.4	0.0	15.6	15.3								
07/07/2008 00:30:00	9.5	0.4	10.3	8.4	9.2	0.5	10.4	7.9	8.3	0.5	9.5	6.8	7.8	0.6	9.1	6.1									17	2	15	260	10	2	12	350					15.2	0.0	15.3	15.1								
07/07/2008 00:40:00	8.8	0.4	9.9	7.6	8.8	0.4	9.9	7.9	7.9	0.4	8.8	6.8	7.3	0.5	8.4	5.7									20	2	16	260	12	3	8	350					14.9	0.0	15.1	14.8								
07/07/2008 00:50:00	7.0	0.5	8.4	5.7	8.5	0.4	9.6	7.6	7.4	0.4	8.4	6.5	7.8	0.4	8.8	6.5									19	3	18	260	11	2	6	350					15.1	0.0	15.3	15.1								
07/07/2008 01:00:00	7.5	0.8	9.5	6.1	8.5	0.7	10.2	7.0	7.4	0.7	9.1	6.1	7.7	0.4	9.1	6.5									17	3	15	260	10	2	6	350					15.2	0.0	15.3	15.3								
07/07/2008 01:10:00	7.6	0.5	8.8	6.1	8.7	0.3	9.6	7.9	7.7	0.4	8.4	6.5	7.5	0.4	8.8	6.5									17	2	11	260	11	2	8	350					14.9	0.1	15.3	14.8								
07/07/2008 01:20:00	6.4	0.4	7.6	5.7	8.0	0.4	9.0	7.0	6.8	0.4	8.0	5.7	7.5	0.4	8.4	6.5									21	3	18	260	12	2	8	350					14.9	0.0	15.1	14.8								
07/07/2008 01:30:00	7.2	0.6	8.8	5.7	8.5	0.5	9.6	7.6	7.4	0.5	8.8	6.1	7.3	0.5	8.8	6.1									20	3	21	260	13	2	10	350					14.7	0.0	15.1	14.8								
07/07/2008 01:40:00	6.6	0.6	8.0	5.7	8.1	0.5	9.6	7.0	7.0	0.6	8.4	5.7	7.3	0.4	8.4	6.1									22	3	18	260	14	2	8	350					14.7	0.0	14.8	14.8								
07/07/2008 01:50:00	5.8	0.2	6.5	5.3	7.2	0.4	8.2	6.2	6.1	0.4	6.8	5.3	7.1	0.4	8.0	6.1									22	2	23	260	12	1	8	350					14.7	0.0	15.1	14.8								
07/07/2008 02:00:00	5.6	0.2	6.1	4.9	6.4	0.3	7.3	5.9	5.5	0.3	6.5	4.9	6.6	0.3	7.2	5.7									27	2	25	260	13	1	8	350					14.9	0.0	15.1	14.8								
07/07/2008 02:10:00	6.6	0.9	8.8	4.9	8.0	0.8	9.3	5.9	6.9	0.8	8.4	4.9	7.4	0.5	8.8	6.1									17	5	15	260	10	2	8	350					14.7	0.0	15.1	14.8								
07/07/2008 02:20:00	6.9	0.6	8.4	5.7	8.4	0.4	9.6	7.3	7.3	0.5	8.8	6.1	7.6	0.5	8.8	6.1									18	3	18	260	12	2	9	350					14.7	0.0	14.8	14.5								
