SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/26/2008 00:00:00	8.3	0.3	8.8	7.2	8.2	0.3	9.0	7.6	7.1	0.3	8.0	6.5	7.2	0.4	8.0	6.1									61	2	58	260	49	2	44	350					3.4	0.0	3.7	3.2								
09/26/2008 00:10:00	8.4	0.3	9.1	7.6	8.1	0.3	8.7	7.0	7.1	0.3	8.0	6.1	6.8	0.4	8.0	5.7									63	2	61	260	52	2	46	350					3.4	0.0	3.7	3.2								
09/26/2008 00:20:00	8.1	0.2	8.8	7.6	8.0	0.3	8.4	7.3	6.9	0.3	7.6	6.1	6.9	0.4	7.6	5.3									62	1	62	260	49	1	48	350					3.2	0.0	3.4	2.9								
09/26/2008 00:30:00	8.5	0.2	9.1	8.0	8.6	0.2	9.0	7.9	7.5	0.2	8.0	6.8	7.4	0.3	8.0	6.5									59	2	58	260	48	2	47	350					3.2	0.0	3.4	3.2								
09/26/2008 00:40:00	8.7	0.2	9.1	8.0	8.4	0.2	9.0	7.6	7.3	0.3	8.0	6.5	7.2	0.3	8.4	6.1									57	2	56	260	46	2	45	350					3.1	0.0	3.2	2.9								
09/26/2008 00:50:00	8.7	0.4	9.9	7.6	8.4	0.3	9.3	7.9	7.4	0.4	8.4	6.5	7.1	0.5	8.0	5.3									58	3	59	260	48	3	42	350					2.9	0.0	3.2	2.9								
09/26/2008 01:00:00	8.3	0.4	9.1	7.2	8.1	0.3	9.3	7.3	7.1	0.3	8.0	6.1	7.0	0.4	8.0	5.7									57	3	63	260	46	3	48	350					3.1	0.0	3.2	2.9								
09/26/2008 01:10:00	8.8	0.2	9.1	8.4	8.7	0.2	9.3	7.9	7.6	0.3	8.4	6.8	7.5	0.3	8.4	6.5									54	2	52	260	44	2	39	350					2.9	0.0	3.2	2.7								
09/26/2008 01:20:00	8.8	0.3	9.5	8.0	8.6	0.2	9.3	8.2	7.5	0.2	8.4	6.8	7.5	0.3	8.4	6.5									57	3	60	260	48	2	47	350					2.9	0.0	3.2	2.9								
09/26/2008 01:30:00	9.0	0.3	9.5	8.0	8.7	0.3	9.6	8.2	7.7	0.3	8.4	6.8	7.6	0.3	8.4	6.8									59	3	60	260	49	3	48	350					3.1	0.0	3.2	2.9								
09/26/2008 01:40:00	9.3	0.4	10.3	8.0	9.0	0.4	10.2	7.9	8.1	0.5	9.5	6.8	7.8	0.5	9.1	6.5									65	3	64	260	55	3	50	350					3.4	0.1	3.7	3.2								
09/26/2008 01:50:00	9.4	0.4	10.3	8.4	9.2	0.4	10.2	8.2	8.2	0.4	9.1	6.5	7.9	0.5	9.1	6.1									65	3	68	260	55	3	57	350					3.7	0.0	4.2	3.4								
09/26/2008 02:00:00	8.7	0.4	9.5	7.6	8.3	0.4	9.3	7.3	7.3	0.4	8.4	6.1	7.1	0.5	8.8	5.7									61	3	60	260	51	3	57	350					3.2	0.1	3.7	2.9								
09/26/2008 02:10:00	8.5	0.5	9.5	7.2	8.3	0.4	9.3	7.3	7.3	0.4	8.4	6.1	7.2	0.4	8.4	6.1									60	4	67	260	50	3	50	350					3.0	0.0	3.2	2.9								
09/26/2008 02:20:00	8.5	0.5	9.9	6.8	8.3	0.5	9.3	7.0	7.3	0.5	8.4	6.1	7.2	0.5	9.1	5.7									56	5	56	260	48	5	49	350					2.9	0.0	3.2	2.9								
