SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
12/18/2007 00:00:00	11.6	0.5	13.0	10.3	10.1	0.5	11.3	8.4	10.3	0.6	11.8	8.0	8.3	0.5	9.9	6.8									9	3	6	260	4	3	7	350					-19.9	0.0	-19.3	-20.1								
12/18/2007 00:10:00	11.8	0.8	13.7	9.5	10.4	0.7	12.2	9.0	10.6	0.7	12.6	8.8	8.7	0.7	11.1	7.2									9	3	5	260	4	4	354	350					-20.0	0.0	-19.7	-20.1								
12/18/2007 00:20:00	11.6	0.7	13.3	9.1	10.3	0.7	11.9	8.7	10.5	0.8	12.6	8.4	8.7	0.7	9.9	6.8									10	3	9	260	5	3	359	350					-19.8	0.0	-19.5	-19.9								
12/18/2007 00:30:00	12.0	0.8	13.7	9.9	10.6	0.7	12.2	9.3	10.9	0.8	13.0	9.1	9.0	0.8	11.1	7.2									12	3	14	260	7	4	359	350					-19.7	0.1	-19.5	-19.9								
12/18/2007 00:40:00	12.3	0.8	14.1	9.9	10.9	0.7	12.7	8.2	11.2	0.9	13.3	8.8	9.4	0.8	11.5	6.8									11	4	12	260	7	4	7	350					-19.5	0.0	-19.3	-19.5								
12/18/2007 00:50:00	12.9	0.9	14.9	9.9	11.5	0.8	13.3	9.6	11.9	0.9	14.1	9.1	9.9	0.8	11.8	7.6									9	4	1	260	4	4	358	350					-19.4	0.0	-19.2	-19.5								
12/18/2007 01:00:00	13.5	0.8	14.9	11.1	11.9	0.6	13.3	10.2	12.4	0.7	13.7	10.3	10.1	0.8	11.8	7.6									11	3	11	260	6	3	3	350					-19.4	0.0	-19.2	-19.5								
12/18/2007 01:10:00	13.2	0.8	14.9	10.3	11.6	0.7	13.0	9.0	12.0	0.8	13.7	8.8	9.8	0.7	11.5	7.2									11	2	11	260	6	3	1	350					-19.5	0.0	-19.3	-19.5								
12/18/2007 01:20:00	13.0	0.7	14.1	11.1	11.2	0.7	12.7	9.3	11.7	0.8	13.3	9.1	9.6	0.8	11.5	8.0									12	3	11	260	7	4	5	350					-19.6	0.0	-19.3	-19.9								
12/18/2007 01:30:00	12.9	0.8	14.5	9.9	11.2	0.7	13.0	9.3	11.8	0.9	13.7	9.1	9.6	0.9	11.8	7.2									12	3	11	260	8	4	2	350					-19.8	0.0	-19.5	-19.9								
12/18/2007 01:40:00	12.7	0.9	14.5	9.9	11.1	0.7	13.3	9.3	11.6	0.8	14.1	8.8	9.5	0.8	11.8	7.2									12	3	5	260	8	3	5	350					-19.9	0.0	-19.5	-20.1								
12/18/2007 01:50:00	13.0	0.6	14.9	11.1	11.3	0.5	12.7	9.9	11.8	0.6	13.3	9.9	9.6	0.6	11.1	8.0									12	2	11	260	6	3	358	350					-20.1	0.1	-19.7	-20.2								
12/18/2007 02:00:00	12.8	0.6	14.1	11.1	10.8	0.5	12.4	9.6	11.4	0.6	13.0	9.9	8.9	0.5	10.3	7.2									13	2	9	260	8	3	4	350					-20.6	0.2	-20.1	-21.0								
12/18/2007 02:10:00	13.2	0.9	14.9	10.3	11.2	0.8	13.0	8.7	11.8	1.0	14.1	8.8	9.4	0.9	11.8	6.1									13	3	8	260	7	4	3	350					-20.8	0.1	-20.6	-21.0								
