SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
10/29/2008 00:00:00	11.6	1.0	14.5	8.0	11.7	1.0	14.4	8.7	10.9	1.0	13.7	8.4	10.4	1.1	13.0	7.2									79	5	79	260	73	6	73	350					-9.3	0.0	-9.2	-9.4								
10/29/2008 00:10:00	12.2	1.0	14.5	8.8	12.0	1.0	14.4	8.2	11.3	1.1	14.1	7.2	10.6	1.2	13.7	6.8									82	6	77	260	76	7	54	350					-9.2	0.0	-9.0	-9.2								
10/29/2008 00:20:00	11.9	1.1	15.3	9.5	11.9	1.1	15.3	8.7	11.2	1.2	15.3	7.6	10.6	1.3	14.5	6.8									82	5	84	260	76	8	80	350					-9.0	0.0	-8.8	-9.2								
10/29/2008 00:30:00	12.1	1.1	14.9	9.1	11.9	1.1	15.0	9.0	11.3	1.2	14.5	8.0	10.6	1.2	13.7	7.2									84	5	91	260	77	8	80	350					-8.9	0.0	-8.8	-9.0								
10/29/2008 00:40:00	12.2	1.0	14.5	9.1	12.0	1.0	14.2	8.7	11.4	1.1	14.1	8.0	10.6	1.3	13.3	6.8									84	5	81	260	77	9	74	350					-8.9	0.0	-8.8	-9.0								
10/29/2008 00:50:00	12.5	1.1	15.3	9.1	12.2	1.0	14.7	9.6	11.7	1.1	14.5	8.0	10.8	1.3	13.7	6.8									83	5	91	260	77	8	84	350					-8.9	0.0	-8.8	-9.0								
10/29/2008 01:00:00	12.3	1.0	15.3	8.4	12.1	1.0	13.9	9.3	11.5	1.0	13.7	8.4	10.6	1.2	13.7	8.0									80	5	85	260	74	7	77	350					-8.9	0.0	-8.8	-9.0								
10/29/2008 01:10:00	11.0	0.9	13.0	7.6	11.1	1.0	13.3	8.7	10.3	1.0	12.6	7.6	10.0	1.0	12.6	7.2									73	6	76	260	66	7	63	350					-8.9	0.0	-8.8	-9.0								
10/29/2008 01:20:00	10.6	1.0	12.6	8.0	10.8	0.9	12.7	8.4	9.9	1.0	12.2	7.2	9.8	0.9	11.8	7.6									68	5	74	260	61	6	67	350					-9.0	0.0	-8.8	-9.2								
10/29/2008 01:30:00	10.4	0.9	12.6	7.6	10.6	0.8	12.7	8.4	9.7	0.9	11.8	7.2	9.4	0.9	11.8	7.2									66	6	71	260	58	6	66	350					-9.0	0.0	-8.8	-9.2								
10/29/2008 01:40:00	11.3	0.8	13.3	9.5	11.6	0.7	13.9	9.3	10.7	0.8	13.7	8.8	10.6	0.9	13.3	8.4									68	5	73	260	60	5	66	350					-9.2	0.0	-9.0	-9.2								
10/29/2008 01:50:00	12.1	0.8	14.1	9.9	12.1	0.8	15.0	9.9	11.4	0.9	14.5	8.0	10.9	1.0	14.1	8.0									74	4	72	260	66	5	65	350					-9.2	0.0	-9.0	-9.2								
10/29/2008 02:00:00	12.8	0.6	14.5	11.1	12.6	0.7	14.2	9.9	12.0	0.8	14.1	9.5	11.3	1.0	13.3	8.4									76	4	77	260	68	5	63	350					-9.2	0.0	-9.0	-9.2								
10/29/2008 02:10:00	12.5	0.9	15.6	9.5	12.2	1.0	15.3	9.3	11.6	1.0	14.9	8.8	11.0	1.1	13.7	8.0									76	4	81	260	68	5	74	350					-9.0	0.0	-8.8	-9.2								
