SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
02/09/2008 00:00:00	17.9	1.3	20.2	14.1	17.1	1.4	20.2	12.2	17.0	1.4	19.9	11.5	15.9	1.5	19.1	11.5									69	4	71	260	63	6	64	350					-22.6	0.0	-22.4	-22.7								
02/09/2008 00:10:00	18.3	1.0	21.0	15.3	17.5	1.2	20.4	13.0	17.4	1.2	20.2	12.6	16.3	1.5	19.5	11.1									71	3	75	260	64	5	67	350					-22.7	0.0	-22.5	-22.7								
02/09/2008 00:20:00	18.3	0.9	20.6	15.3	17.6	1.0	20.2	13.9	17.5	1.0	19.9	14.5	16.5	1.3	19.5	11.8									70	3	71	260	63	5	61	350					-22.5	0.0	-22.5	-22.7								
02/09/2008 00:30:00	16.8	0.9	18.7	13.3	16.4	0.9	18.4	13.0	16.3	1.0	18.3	13.0	15.6	1.2	18.7	11.8									68	3	73	260	61	3	62	350					-22.6	0.0	-22.4	-22.7								
02/09/2008 00:40:00	15.3	1.0	17.6	11.5	14.8	1.0	16.7	11.3	14.6	1.1	16.8	11.1	13.6	1.3	16.4	10.3									66	3	70	260	60	5	61	350					-22.5	0.0	-22.4	-22.7								
02/09/2008 00:50:00	14.6	1.0	16.8	11.8	14.0	1.0	17.0	11.0	13.8	1.2	16.8	10.7	12.8	1.3	16.1	9.1									60	4	54	260	54	6	48	350					-22.6	0.0	-22.5	-22.7								
02/09/2008 01:00:00	16.7	1.1	19.1	13.0	16.3	1.2	19.0	13.0	16.1	1.2	19.1	12.6	15.2	1.4	18.3	11.8									58	3	57	260	52	4	49	350					-22.6	0.0	-22.5	-22.7								
02/09/2008 01:10:00	18.4	0.9	20.2	14.1	17.9	1.0	19.9	13.6	17.6	1.1	19.9	12.6	16.8	1.3	19.5	11.1									60	3	57	260	54	4	50	350					-22.6	0.0	-22.5	-22.7								
02/09/2008 01:20:00	18.0	1.0	20.2	13.7	17.4	1.0	19.9	14.2	17.2	1.1	19.9	13.7	16.4	1.3	19.1	11.8									64	3	62	260	57	4	57	350					-22.6	0.0	-22.5	-22.7								
02/09/2008 01:30:00	17.8	1.2	20.6	14.5	17.4	1.2	19.9	13.9	17.2	1.2	19.9	13.0	16.5	1.4	19.9	12.2									64	3	65	260	57	3	52	350					-22.7	0.0	-22.5	-22.9								
02/09/2008 01:40:00	17.1	1.3	20.2	13.0	16.7	1.3	20.2	13.0	16.5	1.3	19.5	12.2	15.7	1.5	19.9	11.1									64	4	59	260	58	5	51	350					-22.7	0.0	-22.5	-22.9								
02/09/2008 01:50:00	15.6	2.0	19.5	10.3	15.1	1.8	19.0	10.7	14.8	1.8	19.1	9.9	14.0	2.0	17.9	8.8									70	5	75	260	64	6	58	350					-22.6	0.0	-22.5	-22.7								
02/09/2008 02:00:00	14.1	1.5	17.9	9.9	13.8	1.5	17.6	9.6	13.4	1.6	16.8	9.1	12.4	1.7	16.4	7.6									73	6	73	260	67	8	68	350					-22.6	0.0	-22.5	-22.7								
02/09/2008 02:10:00	15.0	1.5	18.7	10.3	14.7	1.4	18.4	11.0	14.4	1.5	18.7	10.3	13.5	1.5	17.6	9.9									75	6	75	260	70	8	59	350					-22.7	0.0	-22.5	-22.7								
