SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/08/2008 00:00:00	4.9	0.4	5.7	4.2	4.8	0.3	5.6	4.1	4.4	0.4	5.7	3.0	4.2	0.5	5.3	2.6									89	6	91	260	78	5	68	350					13.0	0.0	13.2	12.9								
09/08/2008 00:10:00	4.8	0.4	5.7	3.8	4.7	0.4	5.9	3.6	4.3	0.5	5.7	3.0	4.1	0.6	5.7	2.6									89	6	94	260	79	6	88	350					13.0	0.0	13.2	12.9								
09/08/2008 00:20:00	4.6	0.3	5.7	3.8	4.5	0.3	5.3	3.9	4.1	0.3	4.9	3.4	4.0	0.4	4.9	2.6									86	5	86	260	75	4	78	350					12.8	0.1	13.2	12.6								
09/08/2008 00:30:00	4.8	0.4	6.1	4.2	5.0	0.4	5.9	4.1	4.5	0.4	5.3	3.4	4.6	0.4	5.3	3.4									81	5	68	260	72	5	68	350					12.6	0.0	12.9	12.4								
09/08/2008 00:40:00	4.9	0.3	6.1	4.2	5.0	0.3	5.9	4.4	4.5	0.4	5.7	3.8	4.4	0.4	5.7	3.4									74	6	73	260	64	5	59	350					11.8	0.2	12.4	11.6								
09/08/2008 00:50:00	4.7	0.4	5.7	3.8	4.6	0.3	5.3	3.9	4.2	0.4	5.3	3.4	4.1	0.5	5.3	2.6									87	5	89	260	78	5	74	350					12.2	0.0	12.4	11.6								
09/08/2008 01:00:00	4.7	0.4	5.7	3.8	4.3	0.3	5.0	3.3	4.0	0.4	4.9	2.3	3.6	0.5	4.6	2.3									95	5	100	260	84	5	84	350					12.2	0.0	12.4	12.1								
09/08/2008 01:10:00	4.5	0.3	5.3	3.8	4.2	0.4	5.0	3.3	3.8	0.4	4.9	2.6	3.4	0.5	4.6	1.9									95	5	90	260	85	5	83	350					12.0	0.0	12.1	11.8								
09/08/2008 01:20:00	4.4	0.4	5.3	3.0	3.9	0.4	4.7	2.7	3.6	0.5	4.6	1.5	3.2	0.4	4.2	1.9									96	6	98	260	84	6	81	350					12.0	0.0	12.1	11.8								
09/08/2008 01:30:00	4.3	0.3	4.9	3.4	4.2	0.3	5.0	3.3	3.7	0.3	4.6	2.3	3.6	0.4	4.9	2.3									91	5	96	260	79	4	78	350					11.9	0.0	12.1	11.8								
09/08/2008 01:40:00	3.9	0.5	5.3	2.3	3.6	0.4	4.7	2.4	3.2	0.5	4.6	1.9	2.9	0.5	4.6	1.5									102	9	107	260	89	9	83	350					11.9	0.0	12.1	11.8								
09/08/2008 01:50:00	3.6	0.4	5.3	2.6	3.4	0.3	4.4	2.4	3.0	0.5	4.2	1.5	2.9	0.4	3.8	1.5									99	8	113	260	84	8	98	350					11.9	0.0	11.8	11.8								
09/08/2008 02:00:00	3.5	0.4	4.6	2.6	3.2	0.3	4.4	2.7	2.9	0.5	4.2	1.5	2.8	0.6	4.6	1.5									104	9	116	260	91	8	95	350					11.8	0.0	11.8	11.6								
09/08/2008 02:10:00	3.1	0.3	4.6	2.6	3.0	0.4	3.9	2.1	2.5	0.4	3.4	1.9	2.7	0.4	3.4	1.9									103	8	96	260	87	7	85	350					11.7	0.0	11.8	11.6								
09/08/2008 02:20:00	3.3	0.3	4.2	2.3	3.2	0.3	3.9	2.4	2.7	0.4	3.4	1.5	2.8	0.4	3.8	1.5									104	7	91	260	89	5	83	350					11.7	0.0	11.8	11.6								
