SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/27/2007 00:00:00	0.4	0.0	0.4	0.4	8.9	0.8	10.4	5.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	84	7	85	350					-4.7	0.0	-4.5	-4.7								
11/27/2007 00:10:00	0.4	0.0	0.4	0.4	9.6	0.9	12.4	7.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	84	8	67	350					-4.7	0.0	-4.5	-4.7								
11/27/2007 00:20:00	0.4	0.0	0.4	0.4	10.2	1.0	12.7	7.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	78	8	81	350					-4.6	0.0	-4.5	-4.7								
11/27/2007 00:30:00	0.4	0.0	0.4	0.4	10.5	0.8	12.7	8.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	74	7	78	350					-4.8	0.0	-4.5	-4.9								
11/27/2007 00:40:00	0.4	0.0	0.4	0.4	10.6	1.0	12.7	7.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	73	7	77	350					-4.8	0.0	-4.7	-4.9								
11/27/2007 00:50:00	0.4	0.0	0.4	0.4	10.3	0.8	12.7	7.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	72	6	75	350					-5.0	0.0	-4.7	-5.1								
11/27/2007 01:00:00	0.4	0.0	0.4	0.4	11.1	0.8	13.0	9.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	73	5	70	350					-5.3	0.1	-5.1	-5.6								
11/27/2007 01:10:00	0.4	0.0	0.4	0.4	11.3	0.8	13.3	9.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	73	6	76	350					-5.5	0.0	-5.1	-5.6								
11/27/2007 01:20:00	0.4	0.0	0.4	0.4	11.5	0.9	13.9	8.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	78	7	73	350					-5.5	0.0	-5.4	-5.6								
11/27/2007 01:30:00	0.4	0.1	2.3	0.4	11.7	0.8	13.9	9.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	105	260	82	7	80	350					-5.6	0.0	-5.6	-5.8								
11/27/2007 01:40:00	0.4	0.1	2.3	0.4	11.9	1.2	14.7	8.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	105	260	81	8	78	350					-5.6	0.0	-5.6	-5.8								
11/27/2007 01:50:00	0.4	0.0	0.7	0.4	12.2	1.2	15.0	9.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	105	260	77	8	67	350					-5.7	0.0	-5.6	-5.8								
11/27/2007 02:00:00	0.4	0.0	0.4	0.4	12.0	1.2	14.7	9.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	260	260	74	9	75	350					-5.7	0.0	-5.6	-5.8								
11/27/2007 02:10:00	0.4	0.0	0.7	0.4	12.1	1.2	15.6	8.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									105	0	105	260	73	8	75	350					-5.6	0.0	-5.6	-5.8								
