SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
01/20/2008 00:00:00	25.3	2.1	30.9	20.2	25.1	2.2	32.5	19.6	24.8	2.2	31.3	18.7	23.8	2.7	31.3	16.4									182	5	186	260	173	6	171	350					0.5	0.0	0.6	0.3								
01/20/2008 00:10:00	24.5	2.3	30.6	19.1	24.5	2.6	31.6	17.3	24.2	2.6	30.9	15.3	22.3	2.9	30.9	13.3									186	5	191	260	178	7	192	350					0.4	0.0	0.6	0.3								
01/20/2008 00:20:00	23.2	2.0	29.1	18.3	23.4	1.8	29.0	18.2	23.0	1.9	28.3	17.6	20.5	2.0	26.8	15.6									190	5	185	260	181	7	181	350					0.3	0.0	0.6	0.3								
01/20/2008 00:30:00	20.4	1.9	25.2	14.5	21.1	1.8	27.0	16.4	20.3	1.9	24.8	15.3	18.4	2.1	25.2	13.0									192	6	203	260	184	7	196	350					0.2	0.0	0.6	0.1								
01/20/2008 00:40:00	22.2	2.3	28.3	15.3	22.8	2.1	27.9	17.0	22.2	2.3	27.1	14.9	19.8	2.2	26.3	14.5									191	6	189	260	183	8	174	350					0.0	0.0	0.3	-0.4								
01/20/2008 00:50:00	19.3	2.3	25.2	13.0	19.9	2.0	26.5	15.6	19.1	2.1	24.8	13.0	17.1	2.3	24.4	12.6									193	6	196	260	184	8	183	350					-0.3	0.0	0.1	-0.4								
01/20/2008 01:00:00	18.6	1.8	24.0	13.7	19.1	1.7	23.3	15.0	18.2	1.7	22.9	14.1	16.4	1.9	21.8	11.8									192	6	197	260	184	9	188	350					-0.3	0.0	-0.1	-0.4								
01/20/2008 01:10:00	18.3	1.8	23.3	13.0	19.2	1.7	23.9	14.2	18.2	1.7	23.7	13.3	16.2	1.7	23.3	12.6									194	6	190	260	186	8	175	350					-0.3	0.0	0.1	-0.4								
01/20/2008 01:20:00	17.2	2.4	22.6	11.8	18.6	2.3	23.6	13.6	16.9	2.3	22.1	11.8	15.3	2.3	22.9	9.5									198	6	198	260	191	8	186	350					-0.1	0.0	0.1	-0.1								
01/20/2008 01:30:00	15.3	2.1	21.0	10.7	16.5	1.7	21.3	13.0	15.8	2.0	21.4	10.7	13.9	1.8	19.1	9.5									195	6	197	260	187	8	189	350					-0.1	0.0	0.1	-0.4								
01/20/2008 01:40:00	14.3	2.0	19.5	9.9	15.8	1.8	19.6	10.4	14.8	2.1	19.5	8.4	13.2	1.8	18.3	8.0									196	6	190	260	188	8	186	350					-0.2	0.0	0.1	-0.4								
01/20/2008 01:50:00	12.3	1.6	17.2	8.4	14.0	1.5	17.6	10.2	12.8	1.7	17.2	6.8	11.4	1.6	15.3	8.0									199	7	216	260	192	8	189	350					-0.3	0.0	-0.1	-0.4								
01/20/2008 02:00:00	12.6	1.5	17.2	9.1	14.5	1.5	18.7	9.9	13.4	1.7	18.3	8.4	12.0	1.6	16.8	7.2									198	6	189	260	190	7	180	350					-0.3	0.0	-0.1	-0.4								
01/20/2008 02:10:00	11.8	1.5	17.2	9.1	14.1	1.4	18.2	10.4	12.8	1.6	16.8	9.5	11.4	1.3	15.6	7.6									199	5	198	260	192	6	191	350					-0.3	0.0	-0.1	-0.4								
01/20/2008 02:20:00	12.3	1.7	17.6	8.0	14.3	1.5	18.4	10.7	13.1	1.8	17.6	8.8	11.6	1.5	15.6	7.6									199	6	194	260	192	7	199	350					-0.3	0.0	-0.1	-0.4								
