SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
07/26/2008 00:00:00	5.7	0.7	7.2	4.2	6.0	0.7	7.3	4.1	5.5	0.7	6.8	3.4	5.2	0.8	6.8	3.0									247	6	247	260	241	6	232	350					7.0	0.0	7.2	6.9								
07/26/2008 00:10:00	5.8	0.5	6.8	4.6	6.1	0.4	7.0	5.0	5.7	0.5	6.8	4.6	5.4	0.5	6.5	3.8									246	7	254	260	239	5	242	350					7.0	0.0	7.2	6.9								
07/26/2008 00:20:00	5.8	0.5	6.8	4.6	6.0	0.4	7.3	5.0	5.6	0.5	6.8	4.6	5.2	0.5	6.5	3.4									246	4	246	260	239	5	233	350					7.0	0.0	7.2	6.9								
07/26/2008 00:30:00	5.5	0.6	6.8	4.2	5.8	0.5	7.3	4.7	5.4	0.6	6.8	3.8	5.1	0.6	6.8	3.4									248	5	255	260	241	5	235	350					7.0	0.0	7.2	6.9								
07/26/2008 00:40:00	6.0	0.7	7.2	3.8	6.2	0.7	7.3	3.9	5.8	0.8	7.2	3.0	5.4	0.8	7.2	3.0									251	8	251	260	244	6	238	350					7.0	0.0	7.2	6.9								
07/26/2008 00:50:00	5.3	0.6	7.2	3.8	5.6	0.5	7.0	4.7	5.2	0.6	6.8	3.8	4.8	0.6	6.5	3.4									250	9	251	260	243	6	243	350					7.0	0.0	7.2	6.9								
07/26/2008 01:00:00	5.6	0.9	8.0	2.6	5.8	0.8	7.6	3.6	5.4	1.0	7.2	2.6	5.0	1.0	7.2	2.6									255	6	252	260	251	7	249	350					7.0	0.0	7.2	6.9								
07/26/2008 01:10:00	5.8	0.7	7.6	3.8	6.0	0.7	7.6	4.1	5.6	0.8	7.6	3.8	5.3	0.9	7.2	3.4									255	10	261	260	250	7	248	350					7.0	0.0	7.2	6.9								
07/26/2008 01:20:00	6.2	0.6	7.6	4.2	6.3	0.7	7.9	4.7	6.0	0.7	7.6	4.2	5.6	0.8	7.6	3.8									255	9	253	260	250	6	255	350					7.0	0.0	7.2	6.9								
07/26/2008 01:30:00	5.8	0.8	7.6	3.8	6.0	0.7	7.9	4.1	5.6	0.8	8.0	3.8	5.2	0.9	7.6	3.0									255	9	248	260	250	7	242	350					7.0	0.0	7.2	7.2								
07/26/2008 01:40:00	5.3	1.0	8.0	3.4	5.6	0.9	8.2	3.9	5.1	1.0	8.0	3.0	4.7	1.0	8.0	2.6									254	8	257	260	249	5	252	350					7.0	0.0	7.2	7.2								
07/26/2008 01:50:00	5.6	1.0	7.6	3.4	5.9	0.9	7.6	3.6	5.5	1.0	7.2	3.0	5.1	1.0	7.2	2.3									255	6	257	260	253	8	259	350					7.0	0.0	7.2	7.2								
07/26/2008 02:00:00	5.5	0.7	7.2	3.8	5.8	0.7	7.3	4.1	5.4	0.7	6.8	3.8	5.0	0.8	6.5	3.0									253	6	246	260	247	5	244	350					7.0	0.0	7.2	7.2								
07/26/2008 02:10:00	5.7	0.6	6.8	4.2	5.9	0.6	7.3	4.4	5.5	0.6	6.8	3.8	5.0	0.7	6.8	3.4									252	7	255	260	247	6	252	350					7.1	0.0	7.4	7.2								
07/26/2008 02:20:00	6.4	0.8	8.0	4.6	6.6	0.7	8.2	5.0	6.3	0.8	8.0	4.2	5.8	0.8	7.2	3.8									255	14	254	260	249	6	258	350					7.2	0.0	7.4	7.2								
