SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
03/07/2008 00:00:00	6.2	0.5	7.6	4.6	5.9	0.5	7.3	4.7	5.8	0.6	7.2	4.2	5.3	0.6	7.2	3.8									89	7	99	260	80	8	81	350					-2.4	0.0	-2.2	-2.7								
03/07/2008 00:10:00	5.4	0.6	7.2	4.2	5.2	0.4	7.0	4.4	5.0	0.5	6.8	3.8	4.6	0.4	6.1	3.8									76	6	72	260	63	5	59	350					-3.0	0.3	-2.4	-3.4								
03/07/2008 00:20:00	5.0	0.5	6.5	3.8	4.8	0.4	5.9	3.9	4.6	0.4	6.1	3.8	4.2	0.4	5.3	3.0									84	7	94	260	70	7	70	350					-3.3	0.0	-3.1	-3.4								
03/07/2008 00:30:00	5.4	0.5	6.8	4.2	5.4	0.4	6.4	4.4	5.1	0.4	6.1	4.2	4.7	0.4	5.7	3.8									79	7	91	260	66	6	72	350					-3.1	0.0	-2.9	-3.1								
03/07/2008 00:40:00	5.9	0.3	6.8	4.9	6.1	0.3	6.7	5.3	5.7	0.4	6.5	4.9	5.3	0.4	6.1	4.2									69	4	65	260	56	3	52	350					-3.3	0.1	-2.9	-3.6								
03/07/2008 00:50:00	6.7	0.4	7.6	5.3	7.0	0.4	7.9	5.9	6.5	0.4	7.2	5.3	6.2	0.5	7.2	4.9									68	4	63	260	56	3	47	350					-3.5	0.0	-3.4	-3.8								
03/07/2008 01:00:00	7.1	0.3	8.0	6.1	7.3	0.3	8.4	6.4	6.9	0.4	8.0	6.1	6.5	0.4	7.2	5.3									69	4	77	260	56	4	55	350					-3.2	0.1	-3.1	-3.4								
03/07/2008 01:10:00	7.2	0.4	8.0	6.1	7.3	0.4	8.4	6.2	6.9	0.4	8.4	6.1	6.5	0.5	8.0	5.3									68	5	63	260	56	5	60	350					-3.0	0.0	-2.7	-3.1								
03/07/2008 01:20:00	7.3	0.4	8.4	6.1	7.4	0.4	8.4	6.4	7.0	0.4	8.0	5.7	6.5	0.4	7.6	5.3									65	5	64	260	53	4	51	350					-3.2	0.0	-3.1	-3.4								
03/07/2008 01:30:00	6.7	0.6	8.4	5.3	6.7	0.6	7.9	5.3	6.4	0.6	7.6	4.6	5.8	0.6	7.2	4.6									70	6	73	260	56	5	55	350					-3.3	0.0	-3.1	-3.4								
03/07/2008 01:40:00	6.7	0.4	7.6	5.7	6.8	0.4	7.6	5.9	6.5	0.4	7.2	5.7	5.9	0.5	6.8	4.6									68	5	64	260	55	5	47	350					-3.5	0.0	-3.4	-3.6								
03/07/2008 01:50:00	7.0	0.6	9.1	5.3	6.8	0.5	7.9	5.6	6.5	0.5	8.0	5.3	5.7	0.6	7.2	4.2									76	6	77	260	63	6	66	350					-3.0	0.2	-2.7	-3.6								
03/07/2008 02:00:00	6.5	0.4	7.6	5.3	6.3	0.5	7.3	5.3	6.0	0.5	7.2	4.9	5.4	0.6	6.8	3.8									74	5	73	260	60	5	53	350					-3.2	0.0	-2.9	-3.4								
03/07/2008 02:10:00	7.0	0.4	8.0	5.3	7.3	0.4	8.2	6.2	6.9	0.4	7.6	5.7	6.4	0.5	7.2	5.3									69	5	73	260	55	4	55	350					-3.2	0.0	-3.1	-3.4								
