SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-023

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	4
Description	Custom
Details	
Serial Number	SN:
Height	m
Scale Factor	0.021
Offset	0
Units	volts

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	4
Description	RH-5 Humidity %RH
Details	
Serial Number	.adg
Height	1    m
Scale Factor	0.098
Offset	0
Units	%RH

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
03/01/2009 00:00:00	6.7	2.0	11.1	0.4	1.0	0.0	1.0	1.0	7.3	1.8	10.7	0.7	7.3	1.8	10.7	0.7									275	5	277	260	98	0	350	350	12.2	0.0	12.2	12.1	-13.8	0.0	-13.7	-14.1					86.3	0.0	86.5	86.0
03/01/2009 00:10:00	7.4	1.1	10.7	3.4	1.0	0.0	1.0	1.0	7.8	1.1	10.7	5.3	7.8	1.0	10.7	4.9									275	5	265	260	98	0	350	350	12.2	0.0	12.2	12.1	-14.1	0.0	-13.7	-14.3					86.0	0.0	86.2	85.8
03/01/2009 00:20:00	6.4	1.2	9.1	2.6	1.0	0.0	1.0	1.0	6.9	1.1	9.9	3.8	6.9	1.1	9.5	3.4									276	5	269	260	98	0	350	350	12.2	0.0	12.2	12.1	-14.5	0.1	-14.3	-14.8					85.5	0.1	85.8	85.1
03/01/2009 00:30:00	7.0	1.3	10.3	3.4	1.0	0.0	1.0	1.0	7.5	1.3	11.1	4.6	7.5	1.1	10.7	3.8									275	5	273	260	98	0	350	350	12.2	0.0	12.2	12.1	-14.7	0.1	-14.5	-15.0					85.5	0.1	85.8	85.1
03/01/2009 00:40:00	8.2	0.9	11.5	5.7	1.0	0.0	1.0	1.0	8.7	0.9	11.5	5.7	8.6	0.8	10.7	6.5									275	4	275	260	98	0	350	350	12.2	0.0	12.2	12.1	-14.5	0.0	-14.3	-14.6					85.7	0.0	85.8	85.3
03/01/2009 00:50:00	9.0	0.9	11.5	6.8	1.0	0.0	1.0	1.0	9.6	0.8	12.6	6.5	9.4	0.9	12.2	7.6									276	4	268	260	98	0	350	350	12.2	0.0	12.2	12.2	-14.7	0.0	-14.6	-14.6					85.5	0.0	85.8	85.1
03/01/2009 01:00:00	8.3	0.8	11.1	5.7	1.0	0.0	1.0	1.0	8.8	0.8	11.1	6.1	8.6	0.8	10.3	6.5									275	4	278	260	98	0	350	350	12.2	0.0	12.2	12.2	-14.7	0.0	-14.6	-14.6					85.4	0.0	85.5	85.1
03/01/2009 01:10:00	8.1	1.3	12.2	3.8	1.0	0.0	1.0	1.0	8.6	1.2	11.8	5.7	8.7	1.1	11.5	3.4									275	5	272	260	98	0	350	350	12.2	0.0	12.2	12.2	-14.4	0.1	-14.3	-14.6					85.7	0.0	86.0	85.3
03/01/2009 01:20:00	7.2	2.2	11.1	1.5	1.0	0.0	1.0	1.0	7.9	1.8	11.5	2.3	7.9	2.0	11.5	2.3									275	6	272	260	98	0	350	350	12.2	0.0	12.2	12.2	-14.2	0.0	-14.1	-14.3					86.0	0.0	86.2	85.8
03/01/2009 01:30:00	4.6	2.3	10.7	0.4	1.0	0.0	1.0	1.0	5.8	2.0	11.5	0.7	5.6	2.2	12.2	0.7									276	7	269	260	98	0	350	350	12.2	0.0	12.2	12.2	-14.3	0.0	-14.1	-14.5					85.8	0.0	86.0	85.5
03/01/2009 01:40:00	7.4	1.2	10.3	1.5	1.0	0.0	1.0	1.0	7.7	1.2	10.3	4.2	7.7	1.2	10.3	2.3									275	4	273	260	98	0	350	350	12.2	0.0	12.2	12.2	-14.5	0.0	-14.3	-14.6					85.7	0.0	85.8	85.3
