SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
10/04/2008 00:00:00	1.7	0.5	2.6	0.4	1.0	0.0	1.0	1.0	1.0	0.5	2.3	0.4	1.7	0.6	2.6	0.4									356	5	357	260	345	7	350	350					-1.5	0.1	-1.3	-1.8								
10/04/2008 00:10:00	1.8	1.0	3.8	0.4	1.0	0.0	1.0	1.0	1.1	1.0	3.0	0.4	1.5	1.0	3.4	0.4									329	13	335	260	345	2	350	350					-1.7	0.0	-1.5	-1.8								
10/04/2008 00:20:00	1.0	0.7	2.6	0.4	1.0	0.0	1.0	1.0	0.5	0.4	1.9	0.4	0.9	0.6	2.3	0.4									327	2	328	260	342	0	350	350					-1.7	0.0	-1.8	-1.8								
10/04/2008 00:30:00	2.0	1.0	3.4	0.4	1.0	0.0	1.0	1.0	1.3	0.8	2.6	0.4	1.7	0.9	3.0	0.4									333	6	340	260	342	0	350	350					-1.5	0.1	-1.3	-1.8								
10/04/2008 00:40:00	2.3	0.3	3.0	1.9	1.0	0.0	1.0	1.0	1.6	0.3	2.3	1.1	2.0	0.2	2.6	1.5									347	9	2	260	343	2	350	350					-1.6	0.0	-1.3	-1.8								
10/04/2008 00:50:00	2.4	0.4	3.0	1.1	1.0	0.0	1.0	1.0	1.8	0.4	2.3	0.4	2.3	0.3	2.6	1.5									355	3	351	260	354	0	350	350					-1.8	0.0	-1.8	-2.0								
10/04/2008 01:00:00	2.0	0.5	2.6	1.1	1.0	0.0	1.0	1.0	1.3	0.6	2.3	0.4	2.0	0.4	2.6	1.1									2	5	1	260	355	1	350	350					-1.7	0.0	-1.8	-2.0								
10/04/2008 01:10:00	2.8	0.3	3.4	2.3	1.0	0.0	1.0	1.0	2.1	0.3	3.0	1.5	2.4	0.2	3.0	1.9									2	4	0	260	357	0	350	350					-1.8	0.0	-1.8	-2.0								
10/04/2008 01:20:00	3.3	0.2	3.8	2.6	1.0	0.0	1.0	1.0	2.7	0.3	3.4	1.9	2.8	0.2	3.4	2.3									11	1	10	260	1	2	350	350					-1.9	0.0	-1.8	-2.0								
10/04/2008 01:30:00	3.2	0.2	3.8	2.6	1.0	0.0	1.0	1.0	2.8	0.2	3.4	2.3	3.1	0.2	3.4	2.6									10	3	9	260	4	0	350	350					-2.0	0.0	-1.8	-2.0								
10/04/2008 01:40:00	3.2	0.3	3.8	2.6	2.1	1.3	4.1	1.0	2.9	0.3	3.4	2.3	3.2	0.2	3.8	2.6									15	4	14	260	7	2	2	350					-2.0	0.0	-2.0	-2.2								
10/04/2008 01:50:00	2.5	0.3	3.0	1.9	2.9	0.3	3.6	2.4	1.9	0.3	2.6	1.1	2.6	0.2	3.4	1.9									18	2	17	260	10	0	6	350					-2.1	0.0	-2.0	-2.2								
10/04/2008 02:00:00	2.0	0.4	3.0	1.1	2.4	0.4	3.3	1.6	1.2	0.5	2.6	0.4	1.9	0.5	3.0	1.1									18	3	12	260	10	0	6	350					-2.0	0.0	-1.8	-2.0								
10/04/2008 02:10:00	1.1	0.4	2.3	0.7	1.5	0.4	2.4	1.0	0.4	0.2	1.5	0.4	1.1	0.3	2.3	0.4									16	9	12	260	10	0	6	350					-1.7	0.1	-1.3	-2.0								
