SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/26/2007 00:00:00	13.9	1.2	16.8	8.8	13.8	1.1	15.9	9.3	13.0	1.1	15.3	9.1	12.6	1.1	15.3	9.5									64	4	65	260	58	5	55	350					-4.0	0.0	-3.8	-4.0								
11/26/2007 00:10:00	12.8	1.2	15.3	9.1	12.6	1.2	15.3	9.9	11.9	1.2	14.5	8.8	11.6	1.3	14.5	8.0									64	5	65	260	58	5	55	350					-4.0	0.0	-4.0	-4.0								
11/26/2007 00:20:00	12.1	0.8	14.1	9.5	12.0	1.0	14.2	9.3	11.4	1.0	14.1	8.4	10.9	1.0	13.0	8.4									62	4	62	260	56	5	60	350					-4.1	0.0	-4.0	-4.0								
11/26/2007 00:30:00	12.6	0.8	14.1	9.5	12.3	0.9	14.2	9.6	11.7	0.9	13.7	9.1	11.2	1.0	13.3	8.4									63	4	63	260	57	5	50	350					-4.1	0.0	-4.0	-4.0								
11/26/2007 00:40:00	12.1	0.8	13.7	9.5	12.0	0.8	13.9	9.9	11.4	0.8	13.3	9.1	11.0	0.9	13.0	8.4									67	4	69	260	61	5	50	350					-4.1	0.0	-4.0	-4.0								
11/26/2007 00:50:00	11.8	0.7	13.0	9.5	11.7	0.8	13.6	9.0	11.2	0.8	13.0	8.4	10.6	1.0	12.6	7.2									65	4	64	260	60	5	58	350					-4.1	0.0	-4.0	-4.0								
11/26/2007 01:00:00	12.5	0.6	13.7	10.3	12.4	0.8	14.2	10.2	11.9	0.8	13.3	9.5	11.3	1.0	13.0	8.8									67	3	65	260	61	4	59	350					-4.1	0.0	-4.0	-4.2								
11/26/2007 01:10:00	13.3	0.4	14.1	11.5	13.2	0.7	14.2	10.4	12.7	0.6	13.7	10.3	12.1	0.8	13.7	9.5									69	3	66	260	63	4	62	350					-4.2	0.0	-4.0	-4.2								
11/26/2007 01:20:00	12.7	0.7	14.1	9.1	12.7	0.7	14.2	9.6	12.3	0.7	13.7	9.1	11.7	0.9	13.3	8.8									70	3	69	260	64	4	66	350					-4.2	0.0	-4.0	-4.5								
11/26/2007 01:30:00	11.3	0.9	13.3	8.8	11.3	0.9	13.6	9.0	10.8	0.9	13.3	8.0	10.4	0.9	12.6	7.6									64	6	68	260	58	5	57	350					-4.3	0.0	-4.0	-4.5								
11/26/2007 01:40:00	10.2	0.8	13.0	8.0	10.3	0.8	13.0	8.4	9.8	0.8	12.6	8.0	9.4	0.9	12.6	7.2									60	6	69	260	53	5	63	350					-4.4	0.0	-4.2	-4.5								
11/26/2007 01:50:00	11.0	0.6	12.6	8.8	11.1	0.6	12.4	9.0	10.6	0.6	11.8	8.4	10.2	0.7	11.8	8.0									61	5	65	260	54	5	56	350					-4.5	0.0	-4.5	-4.7								
11/26/2007 02:00:00	11.6	0.5	13.0	9.5	11.5	0.6	13.0	9.9	11.1	0.6	12.6	9.1	10.5	0.7	12.2	8.4									68	3	65	260	62	4	59	350					-4.5	0.0	-4.5	-4.7								
11/26/2007 02:10:00	10.8	0.6	12.2	9.1	10.8	0.7	12.2	9.0	10.3	0.6	11.8	8.4	9.8	0.7	11.8	7.6									64	3	65	260	56	4	64	350					-4.6	0.0	-4.5	-4.7								
