SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/17/2008 00:00:00	2.0	0.2	2.3	1.5	1.0	0.0	1.0	1.0	2.0	0.2	2.3	1.9	2.4	0.2	2.6	2.3									330	7	340	260	342	0	350	350					11.9	0.2	12.4	11.6								
08/17/2008 00:10:00	2.4	0.2	2.6	1.9	1.0	0.0	1.0	1.0	2.5	0.2	3.0	1.9	2.6	0.2	3.0	2.3									328	4	321	260	342	0	350	350					12.4	0.0	12.6	12.1								
08/17/2008 00:20:00	2.5	0.3	3.4	1.9	1.0	0.0	1.6	1.0	2.5	0.2	3.4	1.9	2.4	0.3	3.4	1.9									339	3	341	260	342	1	350	350					12.0	0.0	12.1	11.8								
08/17/2008 00:30:00	3.3	0.3	3.8	2.3	3.8	0.4	4.4	2.4	3.3	0.4	4.2	2.3	3.2	0.4	3.8	2.3									351	2	348	260	350	0	350	350					11.8	0.0	12.1	11.6								
08/17/2008 00:40:00	3.9	0.3	4.6	3.0	4.4	0.3	5.0	3.6	3.9	0.4	4.6	3.0	3.6	0.4	4.6	2.3									351	2	353	260	354	5	350	350					11.4	0.0	11.6	11.3								
08/17/2008 00:50:00	4.6	0.4	5.3	3.0	4.9	0.5	5.6	3.9	4.4	0.5	5.3	3.0	4.0	0.5	4.9	2.6									350	2	348	260	354	10	350	350					11.3	0.0	11.3	11.3								
08/17/2008 01:00:00	4.6	0.3	5.3	3.4	4.9	0.3	5.6	4.1	4.4	0.3	4.9	3.4	4.0	0.4	4.9	3.0									350	2	351	260	346	1	349	350					11.3	0.0	11.3	11.0								
08/17/2008 01:10:00	4.6	0.2	4.9	3.8	4.9	0.2	5.3	4.4	4.4	0.2	4.9	3.4	4.2	0.3	4.9	3.0									352	3	350	260	354	1	350	350					11.1	0.0	11.3	10.8								
08/17/2008 01:20:00	4.6	0.2	5.3	4.2	5.1	0.3	5.9	4.4	4.5	0.3	5.3	3.8	4.3	0.3	5.3	3.4									355	2	354	260	354	1	350	350					11.2	0.0	11.3	11.0								
08/17/2008 01:30:00	4.8	0.4	5.7	3.4	5.2	0.4	5.9	3.9	4.6	0.5	5.3	3.0	4.4	0.5	5.3	3.0									358	3	0	260	355	3	350	350					11.4	0.0	11.6	11.3								
08/17/2008 01:40:00	4.4	0.3	4.9	3.8	4.8	0.3	5.6	3.9	4.3	0.3	4.9	3.4	4.0	0.4	4.9	3.0									352	3	354	260	346	1	350	350					11.7	0.0	11.8	11.3								
08/17/2008 01:50:00	4.1	0.2	4.6	3.8	4.8	0.1	5.0	4.4	4.2	0.2	4.6	3.4	4.1	0.2	4.6	3.4									348	0	345	260	346	0	349	350					11.8	0.0	11.8	11.6								
08/17/2008 02:00:00	4.2	0.2	4.6	3.8	4.9	0.2	5.3	4.4	4.3	0.2	4.6	3.8	4.3	0.2	4.6	3.8									353	1	350	260	346	0	349	350					11.9	0.0	12.1	11.8								
08/17/2008 02:10:00	3.8	0.2	4.2	3.4	4.5	0.1	4.7	4.1	3.9	0.2	4.2	3.4	4.0	0.2	4.6	3.4									350	1	351	260	346	0	349	350					12.0	0.0	12.1	11.8								
08/17/2008 02:20:00	4.0	0.4	4.9	3.4	4.7	0.3	5.6	4.1	4.1	0.3	4.9	3.4	4.0	0.4	4.9	2.6									354	4	358	260	354	2	350	350					12.2	0.0	12.4	11.8								
