SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
10/13/2008 00:00:00	7.0	0.6	8.4	5.3	6.3	0.6	7.9	4.7	6.7	0.6	8.0	4.6	6.2	0.8	8.0	3.4									109	4	112	260	103	4	99	350					-4.1	0.0	-3.8	-4.0								
10/13/2008 00:10:00	6.6	0.6	8.0	4.6	5.7	0.6	7.9	4.7	6.4	0.6	8.0	4.9	6.0	0.7	7.6	4.6									112	5	115	260	105	5	103	350					-4.1	0.0	-4.0	-4.0								
10/13/2008 00:20:00	6.7	0.6	8.4	4.9	6.0	0.7	7.9	4.7	6.5	0.6	8.0	4.9	6.1	0.7	7.6	4.2									111	5	120	260	104	5	100	350					-4.1	0.0	-4.0	-4.0								
10/13/2008 00:30:00	6.9	0.6	8.8	4.9	6.4	0.6	7.9	4.7	6.8	0.7	8.4	4.9	6.3	0.8	8.0	4.2									110	5	110	260	103	5	96	350					-4.1	0.0	-4.0	-4.0								
10/13/2008 00:40:00	7.4	0.6	8.8	5.7	6.4	0.7	7.9	5.0	7.1	0.7	8.8	5.3	6.6	0.8	8.8	4.2									111	5	111	260	104	5	101	350					-4.1	0.0	-4.0	-4.0								
10/13/2008 00:50:00	7.2	0.6	8.8	5.7	6.3	0.6	7.9	4.7	7.0	0.6	8.8	5.3	6.3	0.6	8.4	4.6									111	4	110	260	105	4	106	350					-4.1	0.0	-4.0	-4.2								
10/13/2008 01:00:00	7.8	0.8	9.5	5.7	6.4	0.6	7.9	5.0	7.2	0.8	9.1	5.3	6.9	0.8	8.8	4.6									114	5	113	260	108	5	104	350					-4.1	0.0	-4.0	-4.2								
10/13/2008 01:10:00	7.6	0.6	8.8	5.7	6.6	0.6	8.2	5.0	6.8	0.6	8.4	4.9	6.6	0.7	8.4	4.6									111	5	106	260	105	5	93	350					-4.3	0.0	-4.0	-4.5								
10/13/2008 01:20:00	8.1	0.7	9.9	6.1	6.9	0.8	9.3	5.3	7.2	0.8	9.1	4.9	6.9	0.8	8.8	4.9									111	5	114	260	104	5	93	350					-4.4	0.0	-4.0	-4.5								
10/13/2008 01:30:00	8.2	0.6	9.5	6.5	7.3	0.7	9.6	5.6	7.4	0.7	9.1	5.7	7.0	0.7	9.5	5.3									111	5	112	260	105	5	99	350					-4.4	0.0	-4.2	-4.5								
10/13/2008 01:40:00	8.8	0.5	9.9	7.2	8.2	0.6	9.6	6.2	7.9	0.6	9.1	5.7	7.4	0.8	9.5	4.6									107	4	113	260	100	4	99	350					-4.4	0.0	-4.2	-4.7								
10/13/2008 01:50:00	9.2	0.5	10.3	7.2	8.7	0.6	9.9	7.3	8.3	0.6	9.9	6.5	7.6	0.8	9.1	5.3									106	3	106	260	100	4	101	350					-4.6	0.0	-4.5	-4.7								
10/13/2008 02:00:00	8.8	0.5	9.9	6.8	8.3	0.6	9.9	6.7	7.8	0.6	9.5	6.1	7.1	0.9	9.1	4.2									102	3	102	260	96	5	98	350					-4.6	0.0	-4.5	-4.7								
10/13/2008 02:10:00	8.6	0.5	9.9	6.8	8.2	0.5	9.9	6.7	7.7	0.6	9.5	6.1	7.0	0.8	9.1	4.6									101	4	104	260	95	4	95	350					-4.6	0.0	-4.5	-4.7								
