SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/07/2008 00:00:00	1.2	0.5	2.6	0.4	1.9	0.2	2.4	1.6	1.4	0.3	2.3	0.7	0.4	0.2	1.1	0.4									283	8	275	260	289	1	292	350					7.0	0.0	7.2	7.2								
08/07/2008 00:10:00	1.3	0.4	2.3	0.4	2.1	0.2	2.7	1.6	1.6	0.3	2.3	0.7	0.7	0.4	1.5	0.4									276	10	270	260	282	2	283	350					7.0	0.0	7.4	7.2								
08/07/2008 00:20:00	1.8	0.6	3.0	0.4	2.6	0.4	3.6	1.9	2.0	0.4	3.0	1.1	1.2	0.5	2.6	0.4									265	6	253	260	256	12	247	350					7.2	0.0	7.4	7.2								
08/07/2008 00:30:00	2.4	0.5	3.4	1.1	3.0	0.5	3.9	1.9	2.5	0.5	3.4	1.1	2.0	0.7	3.4	0.4									251	11	258	260	244	6	235	350					7.3	0.0	7.4	7.2								
08/07/2008 00:40:00	2.6	0.4	3.4	1.5	3.2	0.4	3.9	2.4	2.6	0.5	3.4	1.5	2.2	0.4	3.4	1.1									253	13	258	260	241	5	249	350					7.3	0.0	7.4	7.4								
08/07/2008 00:50:00	2.8	0.5	3.8	1.5	3.4	0.4	4.1	2.4	2.8	0.5	3.8	1.5	2.5	0.6	3.8	0.7									256	8	246	260	245	7	248	350					7.3	0.0	7.4	7.4								
08/07/2008 01:00:00	2.7	0.4	3.4	1.5	3.3	0.4	4.1	2.1	2.8	0.4	3.8	1.5	2.5	0.5	3.4	1.1									254	9	223	260	243	7	257	350					7.3	0.0	7.4	7.4								
08/07/2008 01:10:00	2.9	0.5	3.8	1.5	3.4	0.4	4.1	2.4	2.8	0.5	3.8	1.5	2.5	0.5	3.4	1.1									255	11	260	260	245	5	250	350					7.3	0.0	7.4	7.2								
08/07/2008 01:20:00	3.5	0.4	4.6	2.6	4.1	0.3	5.0	3.6	3.6	0.4	4.6	2.6	3.4	0.4	4.6	2.3									251	5	252	260	236	5	233	350					7.3	0.0	7.4	7.4								
08/07/2008 01:30:00	3.4	0.4	4.2	2.3	4.0	0.4	4.7	3.3	3.5	0.4	4.2	2.3	3.1	0.5	4.2	2.3									252	5	255	260	237	4	247	350					7.3	0.0	7.4	7.4								
08/07/2008 01:40:00	3.0	0.6	4.2	1.9	3.7	0.4	4.7	2.7	3.1	0.5	4.2	1.9	2.8	0.5	4.2	1.5									252	8	249	260	237	5	237	350					7.3	0.0	7.4	7.4								
08/07/2008 01:50:00	3.5	0.5	4.6	2.3	4.0	0.4	4.7	3.0	3.5	0.5	4.6	2.3	3.2	0.6	4.6	1.5									253	9	255	260	238	6	231	350					7.4	0.0	7.7	7.4								
08/07/2008 02:00:00	3.5	0.4	4.9	2.6	4.0	0.4	5.0	3.3	3.5	0.4	4.9	2.3	3.3	0.5	4.6	1.9									267	8	258	260	247	8	253	350					7.4	0.0	7.7	7.4								
08/07/2008 02:10:00	3.6	0.5	4.6	2.3	4.2	0.5	5.3	3.0	3.6	0.5	4.9	2.3	3.3	0.6	4.6	1.9									265	17	258	260	243	4	239	350					7.5	0.0	7.7	7.4								
08/07/2008 02:20:00	3.9	0.5	4.9	2.6	4.4	0.5	5.3	3.3	3.9	0.6	4.9	2.6	3.5	0.6	4.9	1.9									253	11	258	260	239	4	239	350					7.5	0.0	7.7	7.4								
