SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/21/2007 00:00:00	9.4	0.7	11.1	7.6	9.1	0.8	10.7	7.0	9.1	0.8	10.7	7.2	8.0	0.8	9.9	5.7									357	5	356	260	356	5	354	350					-9.2	0.0	-9.0	-9.2								
11/21/2007 00:10:00	9.1	0.9	11.1	6.8	9.5	0.9	11.6	7.0	9.1	0.9	10.7	6.8	8.0	0.7	9.9	5.7									356	4	352	260	355	2	350	350					-9.2	0.0	-9.0	-9.2								
11/21/2007 00:20:00	9.4	0.7	11.5	7.2	10.2	0.7	11.9	8.4	9.4	0.8	11.1	7.6	8.3	0.7	10.3	6.5									353	4	347	260	346	6	349	350					-9.1	0.0	-8.8	-9.2								
11/21/2007 00:30:00	8.6	0.8	10.7	6.5	9.2	0.7	11.0	7.3	8.5	0.8	10.7	6.1	7.4	0.7	9.5	5.7									354	5	351	260	355	3	351	350					-9.0	0.0	-8.8	-9.2								
11/21/2007 00:40:00	8.9	0.7	10.7	6.5	9.5	0.8	11.6	7.3	8.8	0.8	10.3	6.5	7.8	0.8	9.5	5.3									354	4	355	260	354	2	349	350					-9.0	0.0	-8.8	-9.0								
11/21/2007 00:50:00	8.6	0.8	10.7	6.5	9.2	0.8	11.3	7.3	8.5	0.8	10.3	6.5	7.5	0.7	9.1	5.3									354	5	354	260	346	8	350	350					-9.0	0.0	-8.8	-9.0								
11/21/2007 01:00:00	8.4	0.8	10.3	6.1	9.0	0.8	11.0	7.0	8.3	0.9	10.3	6.1	7.4	0.8	9.5	5.7									354	4	352	260	354	2	351	350					-8.9	0.0	-8.8	-9.0								
11/21/2007 01:10:00	8.5	0.7	10.3	6.1	9.1	0.7	11.0	7.0	8.4	0.7	10.3	6.1	7.4	0.7	9.5	5.7									355	5	0	260	355	7	350	350					-8.8	0.0	-8.8	-8.8								
11/21/2007 01:20:00	8.4	0.8	9.9	6.1	8.9	0.7	10.7	7.0	8.2	0.8	9.9	6.1	7.1	0.7	9.1	4.9									355	5	353	260	355	2	350	350					-8.7	0.0	-8.8	-8.8								
11/21/2007 01:30:00	8.8	0.6	9.9	7.2	9.3	0.7	11.0	7.0	8.7	0.7	9.9	6.5	7.5	0.7	9.1	5.3									0	4	356	260	357	6	355	350					-8.7	0.0	-8.6	-8.8								
11/21/2007 01:40:00	8.8	0.8	10.7	6.5	9.3	0.7	11.6	7.6	8.7	0.8	10.7	6.5	7.6	0.7	9.5	6.1									357	5	352	260	355	2	349	350					-8.7	0.0	-8.6	-8.8								
11/21/2007 01:50:00	8.9	0.7	10.3	6.8	9.4	0.8	11.3	7.6	8.8	0.8	10.7	6.8	7.8	0.8	9.9	5.7									358	4	355	260	355	6	354	350					-8.6	0.0	-8.6	-8.8								
11/21/2007 02:00:00	9.3	0.6	10.7	7.6	9.7	0.7	11.9	7.6	9.2	0.7	11.1	7.2	8.1	0.7	9.9	5.7									0	3	357	260	357	3	351	350					-8.6	0.0	-8.4	-8.6								
11/21/2007 02:10:00	9.4	0.6	10.7	7.2	9.9	0.7	11.3	7.6	9.2	0.7	10.7	6.5	8.1	0.7	9.5	6.1									358	3	355	260	355	3	350	350					-8.5	0.0	-8.4	-8.6								
