SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/06/2008 00:00:00	2.0	0.4	2.6	1.1	1.0	0.0	1.0	1.0	1.9	0.4	2.6	1.1	2.2	0.4	2.6	1.1									67	3	65	260	27	15	350	350					9.8	0.0	10.0	9.7								
09/06/2008 00:10:00	2.6	0.2	3.0	2.3	1.0	0.0	1.0	1.0	2.6	0.2	3.0	1.9	2.7	0.3	3.4	2.3									63	0	63	260	37	0	350	350					9.8	0.0	10.0	9.7								
09/06/2008 00:20:00	2.6	0.3	3.4	1.9	1.0	0.0	1.0	1.0	2.8	0.3	3.4	2.3	3.0	0.2	3.4	2.6									72	3	74	260	58	5	350	350					9.7	0.0	10.0	9.7								
09/06/2008 00:30:00	3.1	0.2	3.4	2.6	1.0	0.0	1.0	1.0	3.2	0.2	3.4	2.6	3.3	0.2	3.8	3.0									73	2	74	260	62	0	350	350					9.7	0.0	9.7	9.5								
09/06/2008 00:40:00	2.2	0.4	3.0	1.5	1.0	0.0	1.0	1.0	2.4	0.3	3.0	1.9	2.8	0.2	3.0	2.3									63	6	65	260	54	3	350	350					9.7	0.0	9.7	9.5								
09/06/2008 00:50:00	2.2	0.2	2.6	1.9	1.0	0.0	1.0	1.0	2.3	0.2	2.6	1.9	2.5	0.2	3.0	2.3									85	4	82	260	64	3	350	350					9.6	0.0	9.7	9.5								
09/06/2008 01:00:00	3.0	0.4	3.4	2.3	1.0	0.0	1.0	1.0	3.1	0.4	3.8	2.3	3.4	0.4	3.8	2.6									79	5	85	260	68	2	350	350					9.7	0.1	10.2	9.5								
09/06/2008 01:10:00	3.4	0.3	3.8	3.0	1.0	0.0	1.0	1.0	3.6	0.3	4.2	3.0	3.8	0.3	4.2	3.0									77	2	78	260	68	0	350	350					10.2	0.0	10.5	10.0								
09/06/2008 01:20:00	3.3	0.2	3.8	2.6	1.0	0.0	1.0	1.0	3.4	0.3	4.2	2.6	3.6	0.3	4.2	3.0									69	3	73	260	63	3	350	350					9.7	0.0	10.2	9.5								
09/06/2008 01:30:00	3.2	0.2	3.8	3.0	1.0	0.0	1.0	1.0	3.3	0.2	3.8	3.0	3.6	0.2	4.2	3.0									67	2	67	260	60	1	350	350					9.5	0.1	9.7	9.2								
09/06/2008 01:40:00	3.9	0.2	4.6	3.4	1.0	0.0	1.0	1.0	4.0	0.3	4.6	3.4	4.2	0.3	4.9	3.4									71	2	72	260	59	1	350	350					9.2	0.0	9.5	9.2								
09/06/2008 01:50:00	4.3	0.4	5.3	3.4	4.8	0.9	5.6	1.0	4.5	0.4	5.3	3.8	4.8	0.4	5.3	3.8									68	8	63	260	57	6	56	350					9.1	0.0	9.2	8.9								
09/06/2008 02:00:00	4.8	0.3	5.3	3.8	5.6	0.3	6.2	5.0	5.1	0.3	5.7	4.2	5.4	0.3	6.1	4.9									63	2	60	260	53	2	49	350					8.7	0.0	9.2	8.4								
09/06/2008 02:10:00	4.4	0.2	4.9	4.2	5.2	0.2	5.6	4.7	4.7	0.2	5.3	4.2	5.1	0.2	5.7	4.6									64	3	60	260	52	2	48	350					8.4	0.1	8.7	8.2								
09/06/2008 02:20:00	4.3	0.2	4.9	3.8	5.1	0.2	5.9	4.7	4.6	0.2	5.3	4.2	5.1	0.3	5.7	4.6									65	3	63	260	54	3	47	350					8.1	0.0	8.2	7.9								
