SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
07/25/2008 00:00:00	5.7	0.5	6.5	4.6	5.8	0.4	6.7	4.7	5.4	0.4	6.5	4.6	5.2	0.5	6.5	4.2									311	4	306	260	309	4	311	350					7.6	0.0	7.9	7.7								
07/25/2008 00:10:00	5.5	0.5	6.8	4.2	5.6	0.4	6.7	4.7	5.2	0.5	6.5	3.8	5.0	0.5	6.1	3.8									310	5	309	260	308	4	308	350					7.4	0.0	7.7	7.2								
07/25/2008 00:20:00	5.7	0.5	6.8	4.6	5.7	0.4	6.7	4.7	5.3	0.5	6.5	4.2	5.1	0.4	6.1	3.8									310	4	306	260	309	4	311	350					7.1	0.0	7.4	6.9								
07/25/2008 00:30:00	5.9	0.3	6.5	4.9	5.9	0.3	6.7	5.3	5.5	0.3	6.1	4.6	5.2	0.4	5.7	4.2									313	2	309	260	312	3	315	350					6.8	0.0	7.2	6.9								
07/25/2008 00:40:00	5.8	0.2	6.5	5.3	5.8	0.3	6.4	5.0	5.4	0.3	6.1	4.6	5.0	0.4	5.7	3.8									314	1	311	260	314	2	317	350					6.7	0.0	6.9	6.6								
07/25/2008 00:50:00	5.3	0.2	5.7	4.6	5.3	0.3	5.9	4.4	4.9	0.3	5.7	3.8	4.5	0.3	5.3	3.8									313	2	314	260	312	2	316	350					6.5	0.0	6.9	6.4								
07/25/2008 01:00:00	5.6	0.2	6.1	5.3	5.5	0.2	5.9	4.7	5.1	0.3	5.7	4.2	4.6	0.3	5.3	3.8									315	1	311	260	315	1	316	350					6.5	0.0	6.4	6.4								
07/25/2008 01:10:00	5.7	0.2	6.1	4.9	5.7	0.2	6.2	4.7	5.3	0.3	5.7	4.2	4.8	0.3	5.3	3.8									312	2	311	260	312	2	316	350					6.4	0.0	6.4	6.1								
07/25/2008 01:20:00	5.3	0.3	6.1	4.6	5.5	0.3	6.2	4.7	5.0	0.4	5.7	4.2	4.7	0.3	5.3	3.8									308	4	308	260	309	3	313	350					6.5	0.0	6.6	6.4								
07/25/2008 01:30:00	5.0	0.3	5.7	4.2	5.2	0.3	5.9	4.4	4.7	0.3	5.3	3.8	4.5	0.4	5.3	3.4									305	4	300	260	306	3	311	350					6.6	0.0	6.6	6.4								
07/25/2008 01:40:00	4.8	0.3	5.7	4.2	5.0	0.4	5.9	4.1	4.6	0.4	5.7	3.8	4.5	0.5	5.3	3.4									302	4	304	260	302	3	308	350					6.5	0.0	6.6	6.4								
07/25/2008 01:50:00	4.3	0.3	4.9	3.4	4.5	0.3	5.0	3.6	4.0	0.3	4.9	3.0	4.0	0.3	4.9	3.0									299	4	297	260	301	3	303	350					6.5	0.0	6.6	6.4								
07/25/2008 02:00:00	4.3	0.3	4.9	3.4	4.2	0.3	4.7	3.6	3.7	0.4	4.6	3.0	3.7	0.3	4.6	2.6									289	4	286	260	289	5	291	350					6.4	0.0	6.4	6.1								
07/25/2008 02:10:00	4.5	0.5	6.1	3.0	4.4	0.4	5.9	3.6	4.0	0.5	5.7	3.0	3.7	0.5	5.3	2.6									287	6	267	260	286	6	275	350					6.5	0.0	6.6	6.4								
07/25/2008 02:20:00	5.7	0.4	6.5	4.6	5.8	0.4	6.4	4.7	5.3	0.4	6.1	4.2	5.2	0.4	6.1	3.4									282	4	280	260	278	3	278	350					6.6	0.0	6.9	6.4								
