SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
02/19/2008 00:00:00	8.8	0.4	9.9	8.0	8.0	0.4	9.0	6.7	8.5	0.4	9.5	7.2	8.2	0.4	9.9	7.2									94	0	93	260	122	3	121	350					-0.7	0.0	-0.6	-0.8								
02/19/2008 00:10:00	8.1	0.4	9.1	7.2	6.5	0.8	8.7	5.0	8.0	0.4	9.1	6.8	7.6	0.5	9.5	6.1									94	0	93	260	116	3	123	350					-0.8	0.1	-0.6	-1.1								
02/19/2008 00:20:00	8.0	0.3	8.8	7.2	6.1	0.6	7.6	4.7	7.8	0.3	8.8	6.8	7.5	0.4	8.4	5.3									94	0	93	260	115	2	115	350					-1.1	0.0	-1.1	-1.1								
02/19/2008 00:30:00	8.6	0.5	9.5	6.8	5.8	0.4	6.7	4.7	8.3	0.5	9.1	6.5	7.8	0.6	8.8	5.7									94	0	93	260	110	2	109	350					-1.2	0.0	-1.1	-1.3								
02/19/2008 00:40:00	9.4	0.6	10.7	6.8	6.6	0.5	8.4	5.6	8.9	0.6	10.3	7.2	8.3	0.6	9.5	6.5									94	0	93	260	110	3	117	350					-1.4	0.0	-1.3	-1.5								
02/19/2008 00:50:00	9.9	0.5	10.7	8.0	6.6	0.4	8.2	5.9	9.2	0.6	10.3	7.2	8.6	0.6	9.9	6.8									94	0	93	260	110	3	93	350					-1.6	0.0	-1.3	-1.8								
02/19/2008 01:00:00	10.5	0.4	11.5	8.8	7.1	0.4	8.2	6.2	10.1	0.6	11.1	7.6	9.2	0.6	10.7	7.2									94	0	93	260	110	3	106	350					-1.7	0.0	-1.5	-1.8								
02/19/2008 01:10:00	10.7	0.4	11.8	9.5	7.1	0.4	8.4	6.2	10.1	0.5	11.5	8.4	9.5	0.5	10.7	7.6									94	0	93	260	111	2	110	350					-1.8	0.0	-1.8	-2.0								
02/19/2008 01:20:00	10.7	0.2	11.5	10.3	7.1	0.4	8.4	6.2	10.3	0.4	11.5	9.1	9.7	0.4	10.7	8.0									94	0	93	260	111	2	106	350					-1.8	0.0	-1.8	-2.0								
02/19/2008 01:30:00	11.2	0.4	12.2	10.3	7.5	0.5	9.3	6.4	10.7	0.3	11.8	9.5	9.9	0.5	11.1	8.0									94	0	93	260	108	2	104	350					-1.8	0.0	-1.8	-2.0								
02/19/2008 01:40:00	11.8	0.5	13.0	10.7	8.0	0.5	9.9	6.7	11.1	0.5	12.2	9.5	10.0	0.7	11.8	7.6									94	0	93	260	108	2	102	350					-1.7	0.0	-1.5	-1.8								
02/19/2008 01:50:00	11.5	0.9	13.0	9.1	8.7	0.7	10.7	7.6	10.8	0.9	12.2	8.4	9.7	1.1	11.8	6.1									94	0	93	260	105	4	95	350					-1.8	0.1	-1.5	-2.2								
02/19/2008 02:00:00	9.8	0.7	11.5	7.2	8.5	0.7	10.7	6.4	9.3	0.8	11.1	6.8	8.4	1.1	10.7	5.3									94	0	93	260	101	4	99	350					-2.4	0.2	-2.0	-2.7								
02/19/2008 02:10:00	10.4	0.5	11.5	8.4	8.5	0.5	9.6	7.3	9.4	0.5	10.7	8.0	8.1	0.9	9.5	4.9									94	0	93	260	103	3	101	350					-2.8	0.0	-2.7	-3.1								
