SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/12/2007 00:00:00	0.4	0.0	0.4	0.4	7.6	0.8	10.7	5.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	121	7	144	350					-11.2	0.0	-11.1	-11.5								
11/12/2007 00:10:00	0.4	0.0	0.4	0.4	7.7	0.9	10.4	5.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	122	8	126	350					-11.2	0.0	-11.1	-11.3								
11/12/2007 00:20:00	0.4	0.0	0.4	0.4	7.9	0.8	9.9	5.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	119	7	132	350					-10.9	0.1	-10.9	-11.3								
11/12/2007 00:30:00	0.4	0.0	0.4	0.4	7.9	0.7	9.6	6.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	116	5	117	350					-10.8	0.0	-10.7	-10.9								
11/12/2007 00:40:00	0.4	0.0	0.4	0.4	8.4	0.6	10.7	7.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	114	5	119	350					-10.7	0.0	-10.4	-10.9								
11/12/2007 00:50:00	0.4	0.0	0.4	0.4	7.9	0.6	9.9	6.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	112	6	120	350					-10.6	0.0	-10.4	-10.9								
11/12/2007 01:00:00	0.4	0.0	0.4	0.4	8.5	0.7	10.7	6.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	115	6	118	350					-10.6	0.0	-10.4	-10.9								
11/12/2007 01:10:00	0.4	0.0	0.4	0.4	8.4	0.8	10.4	6.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	119	6	119	350					-10.4	0.0	-10.4	-10.4								
11/12/2007 01:20:00	0.4	0.0	0.4	0.4	8.3	0.7	10.4	6.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	120	6	125	350					-10.4	0.0	-10.4	-10.4								
11/12/2007 01:30:00	0.4	0.0	0.4	0.4	9.2	0.9	11.3	6.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	123	5	124	350					-10.3	0.0	-10.0	-10.4								
11/12/2007 01:40:00	0.4	0.0	0.4	0.4	10.0	0.5	11.9	8.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	125	4	133	350					-9.9	0.1	-9.6	-10.0								
11/12/2007 01:50:00	0.4	0.0	0.4	0.4	10.3	0.8	12.4	8.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	122	5	123	350					-9.5	0.0	-9.2	-9.8								
11/12/2007 02:00:00	0.4	0.0	0.4	0.4	10.4	0.8	12.2	8.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	122	5	127	350					-9.3	0.0	-9.2	-9.4								
11/12/2007 02:10:00	0.4	0.0	0.4	0.4	10.2	0.7	11.9	8.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4									119	0	260	260	121	4	120	350					-9.4	0.0	-9.2	-9.6								
