SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
05/01/2008 00:00:00	11.1	0.6	12.6	9.5	11.2	0.5	13.0	10.2	10.6	0.7	12.6	9.1	10.5	0.7	12.2	9.1									346	2	346	260	343	2	346	350					-9.1	0.0	-8.8	-9.2								
05/01/2008 00:10:00	11.4	0.7	12.6	9.5	11.4	0.6	12.4	9.9	10.8	0.8	12.2	9.1	10.7	0.8	12.2	8.8									344	3	339	260	341	2	344	350					-9.2	0.0	-9.0	-9.2								
05/01/2008 00:20:00	11.2	0.6	12.6	9.5	11.2	0.6	12.4	9.6	10.6	0.7	12.2	8.8	10.4	0.7	12.2	8.0									345	3	342	260	342	2	345	350					-9.2	0.0	-9.2	-9.2								
05/01/2008 00:30:00	11.8	0.5	13.0	10.3	11.8	0.5	13.0	10.4	11.2	0.5	12.6	9.5	11.1	0.7	13.0	9.1									343	2	340	260	341	2	347	350					-9.2	0.0	-9.0	-9.2								
05/01/2008 00:40:00	11.5	0.5	12.6	9.9	11.6	0.5	12.7	10.2	11.1	0.6	12.6	9.1	11.0	0.7	12.6	8.4									342	2	340	260	340	2	344	350					-9.2	0.0	-9.0	-9.2								
05/01/2008 00:50:00	10.9	0.5	12.2	9.1	11.0	0.5	12.4	9.6	10.5	0.6	12.2	8.0	10.3	0.6	11.8	8.4									339	3	337	260	337	3	341	350					-9.2	0.0	-9.2	-9.2								
05/01/2008 01:00:00	11.0	0.6	12.6	9.1	11.1	0.6	12.4	9.6	10.5	0.7	12.2	8.4	10.3	0.8	12.2	8.4									339	3	335	260	337	3	339	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 01:10:00	10.8	0.5	11.8	9.1	10.9	0.5	12.2	9.6	10.3	0.6	11.5	8.8	10.2	0.6	11.5	8.8									340	2	336	260	338	3	342	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 01:20:00	10.5	0.6	11.8	8.8	10.6	0.7	11.9	8.7	9.9	0.7	11.1	8.0	9.8	0.8	11.5	8.0									339	3	341	260	337	3	338	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 01:30:00	10.4	0.6	11.8	8.8	10.5	0.5	11.9	9.3	9.8	0.6	11.5	8.4	9.6	0.6	11.5	8.4									339	3	335	260	337	3	343	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 01:40:00	10.5	0.6	11.8	9.1	10.7	0.6	12.2	9.0	10.0	0.7	12.2	8.0	9.8	0.8	11.8	8.0									338	3	336	260	336	3	342	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 01:50:00	10.2	0.5	11.5	8.8	10.4	0.5	11.6	8.7	9.6	0.6	11.1	8.0	9.6	0.6	11.1	8.4									340	3	338	260	339	2	338	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 02:00:00	10.3	0.5	11.5	8.8	10.4	0.5	11.6	9.3	9.7	0.6	11.5	8.4	9.7	0.7	11.5	8.0									341	2	340	260	339	2	345	350					-9.3	0.0	-9.2	-9.2								
05/01/2008 02:10:00	9.9	0.5	11.1	8.8	10.1	0.5	11.3	9.0	9.4	0.5	10.7	8.0	9.4	0.5	10.7	8.0									342	2	337	260	340	2	339	350					-9.3	0.0	-9.2	-9.4								
