SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
10/30/2008 00:00:00	5.9	0.2	6.5	5.3	6.2	0.3	6.7	5.6	5.8	0.3	6.5	4.9	5.3	0.3	6.1	4.2									59	4	61	260	49	3	45	350					-7.1	0.0	-6.9	-7.1								
10/30/2008 00:10:00	5.8	0.2	6.1	4.9	5.7	0.2	6.2	5.0	5.3	0.2	6.1	4.6	4.8	0.3	5.3	4.2									56	2	61	260	47	2	45	350					-7.1	0.0	-7.1	-7.3								
10/30/2008 00:20:00	6.0	0.3	6.5	5.3	6.0	0.3	6.7	5.3	5.6	0.3	6.5	4.6	5.0	0.4	6.1	3.8									58	3	54	260	48	3	47	350					-7.3	0.0	-7.1	-7.3								
10/30/2008 00:30:00	5.9	0.4	6.8	4.6	6.7	0.3	7.3	5.6	6.2	0.3	6.8	4.9	5.9	0.5	6.8	3.8									62	3	59	260	55	3	55	350					-7.4	0.0	-7.3	-7.3								
10/30/2008 00:40:00	5.3	0.7	6.5	3.4	6.4	0.4	7.0	5.3	5.8	0.4	6.5	4.6	5.7	0.4	6.5	4.6									57	4	58	260	52	2	50	350					-7.6	0.0	-7.3	-7.7								
10/30/2008 00:50:00	5.1	0.2	5.7	4.6	5.7	0.3	6.2	5.0	5.2	0.3	5.7	4.6	4.9	0.5	5.7	3.4									46	3	51	260	39	2	32	350					-8.0	0.2	-7.5	-8.2								
10/30/2008 01:00:00	5.2	0.3	5.7	4.6	6.2	0.3	7.0	5.6	5.6	0.3	6.5	4.9	5.5	0.4	6.5	4.6									54	5	52	260	47	5	50	350					-7.8	0.1	-7.5	-7.9								
10/30/2008 01:10:00	5.3	0.4	6.1	4.6	6.2	0.3	7.0	5.6	5.7	0.3	6.5	4.9	5.8	0.2	6.5	5.3									66	3	68	260	60	2	57	350					-7.6	0.0	-7.3	-7.7								
10/30/2008 01:20:00	5.4	0.3	6.1	4.9	5.8	0.4	6.4	4.7	5.3	0.4	6.1	4.2	5.0	0.6	6.1	3.4									61	6	65	260	53	6	57	350					-7.7	0.0	-7.5	-8.2								
10/30/2008 01:30:00	4.3	0.4	5.3	3.8	5.0	0.3	5.9	4.4	4.5	0.3	5.3	3.8	4.6	0.2	4.9	3.8									53	4	57	260	47	2	48	350					-8.1	0.0	-7.9	-8.2								
10/30/2008 01:40:00	4.2	0.3	4.9	3.4	4.9	0.3	5.6	4.4	4.3	0.3	4.9	3.8	4.7	0.4	5.3	3.8									49	4	43	260	45	1	42	350					-7.9	0.0	-7.7	-7.9								
10/30/2008 01:50:00	4.2	0.2	4.6	3.8	4.9	0.2	5.3	4.4	4.3	0.2	4.9	3.8	4.2	0.3	4.6	3.4									43	2	43	260	37	3	39	350					-8.1	0.0	-7.7	-8.2								
10/30/2008 02:00:00	3.6	0.4	4.2	3.0	3.9	0.3	4.7	3.3	3.4	0.3	4.2	3.0	3.4	0.4	4.6	2.6									44	2	40	260	36	0	33	350					-8.2	0.0	-7.9	-8.2								
10/30/2008 02:10:00	3.4	0.2	3.8	3.0	3.8	0.1	4.1	3.6	3.3	0.2	3.8	3.0	3.2	0.2	3.8	2.6									41	4	46	260	35	0	33	350					-8.2	0.0	-7.9	-8.2								
