SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
01/15/2008 00:00:00	0.4	0.1	1.1	0.4	2.0	0.2	2.4	1.3	0.4	0.0	0.7	0.4	9.1	0.8	11.1	7.2									63	7	75	260	105	22	124	350					-22.8	0.1	-22.5	-22.9								
01/15/2008 00:10:00	0.4	0.1	1.1	0.4	2.0	0.2	2.4	1.3	0.4	0.0	0.7	0.4	9.4	0.8	12.2	7.2									57	6	61	260	100	21	91	350					-22.6	0.1	-22.4	-22.9								
01/15/2008 00:20:00	0.4	0.1	1.1	0.4	2.2	0.2	2.7	1.6	0.4	0.1	1.1	0.4	10.6	0.8	12.2	8.8									57	6	52	260	99	19	63	350					-22.6	0.0	-22.5	-22.7								
01/15/2008 00:30:00	0.4	0.1	1.5	0.4	2.2	0.2	2.7	1.6	0.4	0.1	1.5	0.4	10.6	0.8	12.2	8.4									57	5	54	260	102	20	101	350					-22.5	0.1	-22.4	-22.7								
01/15/2008 00:40:00	0.4	0.1	1.5	0.4	2.1	0.2	2.4	1.6	0.4	0.1	1.5	0.4	10.5	0.9	12.6	8.0									55	5	67	260	100	20	67	350					-22.4	0.0	-22.2	-22.5								
01/15/2008 00:50:00	0.4	0.1	1.1	0.4	2.1	0.2	2.4	1.3	0.4	0.1	1.1	0.4	9.9	0.9	12.2	7.6									55	6	52	260	99	20	102	350					-22.4	0.0	-22.2	-22.4								
01/15/2008 01:00:00	0.4	0.1	1.1	0.4	2.1	0.2	2.4	1.6	0.4	0.1	1.1	0.4	10.0	0.8	11.8	8.0									57	5	60	260	103	22	96	350					-22.4	0.0	-22.2	-22.4								
01/15/2008 01:10:00	0.4	0.1	1.5	0.4	2.1	0.2	2.4	1.6	0.4	0.1	1.5	0.4	10.2	0.9	12.6	8.0									56	6	46	260	103	22	85	350					-22.4	0.0	-22.2	-22.5								
01/15/2008 01:20:00	0.4	0.0	0.7	0.4	2.0	0.2	2.4	1.3	0.4	0.1	0.7	0.4	9.8	0.9	12.6	7.6									57	6	47	260	105	23	99	350					-22.4	0.0	-22.4	-22.5								
01/15/2008 01:30:00	0.4	0.1	1.1	0.4	2.1	0.2	2.7	1.3	0.4	0.1	1.5	0.4	10.4	0.9	12.6	8.0									59	6	61	260	107	22	117	350					-22.6	0.0	-22.4	-22.7								
01/15/2008 01:40:00	0.4	0.2	2.3	0.4	2.2	0.2	2.7	1.6	0.4	0.1	1.1	0.4	11.1	1.1	14.1	8.0									58	5	61	260	107	23	75	350					-22.3	0.0	-22.0	-22.5								
01/15/2008 01:50:00	0.6	0.4	1.9	0.4	2.4	0.2	2.7	1.9	0.4	0.2	1.5	0.4	12.2	0.9	14.1	9.1									64	4	68	260	114	24	74	350					-22.3	0.0	-22.0	-22.4								
01/15/2008 02:00:00	0.6	0.4	2.3	0.4	2.3	0.2	2.7	1.6	0.5	0.2	1.5	0.4	11.7	1.0	14.1	9.1									65	6	61	260	113	24	120	350					-22.2	0.0	-22.0	-22.4								
01/15/2008 02:10:00	0.6	0.4	1.9	0.4	2.2	0.2	2.4	1.0	0.4	0.2	1.5	0.4	10.6	1.3	13.0	7.2									68	6	69	260	117	23	89	350					-22.1	0.0	-21.8	-22.2								
