9/27/2017 1:43:45 PM 
006620071026008 Wrote: C:\NRG\ScaledData\006620071026008.txt
006620071026009 Wrote: C:\NRG\ScaledData\006620071026009.txt
006620071027010 Wrote: C:\NRG\ScaledData\006620071027010.txt
006620071028011 Wrote: C:\NRG\ScaledData\006620071028011.txt
006620071029012 Wrote: C:\NRG\ScaledData\006620071029012.txt
006620071030013 Wrote: C:\NRG\ScaledData\006620071030013.txt
006620071031014 Wrote: C:\NRG\ScaledData\006620071031014.txt
006620071101015 Wrote: C:\NRG\ScaledData\006620071101015.txt
006620071102016 Wrote: C:\NRG\ScaledData\006620071102016.txt
006620071103017 Wrote: C:\NRG\ScaledData\006620071103017.txt
006620071104018 Wrote: C:\NRG\ScaledData\006620071104018.txt
006620071105019 Wrote: C:\NRG\ScaledData\006620071105019.txt
006620071106020 Wrote: C:\NRG\ScaledData\006620071106020.txt
006620071107021 Wrote: C:\NRG\ScaledData\006620071107021.txt
006620071108022 Wrote: C:\NRG\ScaledData\006620071108022.txt
006620071109023 Wrote: C:\NRG\ScaledData\006620071109023.txt
006620071110024 Wrote: C:\NRG\ScaledData\006620071110024.txt
006620071111025 Wrote: C:\NRG\ScaledData\006620071111025.txt
006620071112026 Wrote: C:\NRG\ScaledData\006620071112026.txt
006620071113027 Wrote: C:\NRG\ScaledData\006620071113027.txt
006620071114028 Wrote: C:\NRG\ScaledData\006620071114028.txt
006620071115029 Wrote: C:\NRG\ScaledData\006620071115029.txt
006620071116030 Wrote: C:\NRG\ScaledData\006620071116030.txt
006620071117031 Wrote: C:\NRG\ScaledData\006620071117031.txt
006620071118032 Wrote: C:\NRG\ScaledData\006620071118032.txt
006620071119033 Wrote: C:\NRG\ScaledData\006620071119033.txt
006620071120034 Wrote: C:\NRG\ScaledData\006620071120034.txt
006620071121035 Wrote: C:\NRG\ScaledData\006620071121035.txt
006620071122036 Wrote: C:\NRG\ScaledData\006620071122036.txt
006620071123037 Wrote: C:\NRG\ScaledData\006620071123037.txt
006620071124038 Wrote: C:\NRG\ScaledData\006620071124038.txt
006620071125039 Wrote: C:\NRG\ScaledData\006620071125039.txt
006620071126040 Wrote: C:\NRG\ScaledData\006620071126040.txt
006620071127041 Wrote: C:\NRG\ScaledData\006620071127041.txt
006620071128042 Wrote: C:\NRG\ScaledData\006620071128042.txt
006620071129043 Wrote: C:\NRG\ScaledData\006620071129043.txt
006620071130044 Wrote: C:\NRG\ScaledData\006620071130044.txt
006620071201045 Wrote: C:\NRG\ScaledData\006620071201045.txt
006620071202046 Wrote: C:\NRG\ScaledData\006620071202046.txt
006620071203047 Wrote: C:\NRG\ScaledData\006620071203047.txt
006620071204048 Wrote: C:\NRG\ScaledData\006620071204048.txt
006620071205049 Wrote: C:\NRG\ScaledData\006620071205049.txt
006620071206050 Wrote: C:\NRG\ScaledData\006620071206050.txt
006620071207051 Wrote: C:\NRG\ScaledData\006620071207051.txt
006620071208052 Wrote: C:\NRG\ScaledData\006620071208052.txt
006620071209053 Wrote: C:\NRG\ScaledData\006620071209053.txt
006620071210054 Wrote: C:\NRG\ScaledData\006620071210054.txt
006620071211055 Wrote: C:\NRG\ScaledData\006620071211055.txt
006620071212056 Wrote: C:\NRG\ScaledData\006620071212056.txt
006620071213057 Wrote: C:\NRG\ScaledData\006620071213057.txt
006620071214058 Wrote: C:\NRG\ScaledData\006620071214058.txt
006620071215059 Wrote: C:\NRG\ScaledData\006620071215059.txt
006620071216060 Wrote: C:\NRG\ScaledData\006620071216060.txt
006620071217061 Wrote: C:\NRG\ScaledData\006620071217061.txt
006620071218062 Wrote: C:\NRG\ScaledData\006620071218062.txt
006620071219063 Wrote: C:\NRG\ScaledData\006620071219063.txt
006620071220064 Wrote: C:\NRG\ScaledData\006620071220064.txt
006620071221065 Wrote: C:\NRG\ScaledData\006620071221065.txt
006620071222066 Wrote: C:\NRG\ScaledData\006620071222066.txt
006620071223067 Wrote: C:\NRG\ScaledData\006620071223067.txt
006620071224068 Wrote: C:\NRG\ScaledData\006620071224068.txt
006620071225069 Wrote: C:\NRG\ScaledData\006620071225069.txt
006620071226008 Wrote: C:\NRG\ScaledData\006620071226008.txt
006620071226070 Wrote: C:\NRG\ScaledData\006620071226070.txt
006620071227009 Wrote: C:\NRG\ScaledData\006620071227009.txt
006620071228010 Wrote: C:\NRG\ScaledData\006620071228010.txt
006620071229011 Wrote: C:\NRG\ScaledData\006620071229011.txt
006620071230012 Wrote: C:\NRG\ScaledData\006620071230012.txt
006620071231013 Wrote: C:\NRG\ScaledData\006620071231013.txt
