SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/29/2008 00:00:00	4.5	0.2	4.9	4.2	5.0	0.1	5.3	4.7	4.5	0.2	4.9	4.2	4.3	0.2	4.6	3.8									48	2	48	260	36	1	33	350					3.9	0.0	4.2	3.7								
08/29/2008 00:10:00	4.2	0.2	4.6	3.8	4.8	0.2	5.3	4.4	4.3	0.2	4.6	3.8	4.2	0.2	4.6	3.8									46	2	45	260	35	0	32	350					3.9	0.0	4.2	3.7								
08/29/2008 00:20:00	4.4	0.3	4.9	3.8	4.7	0.2	5.3	4.4	4.2	0.2	4.6	3.8	4.1	0.2	4.6	3.8									48	2	45	260	37	1	33	350					3.7	0.0	3.9	3.7								
08/29/2008 00:30:00	4.9	0.2	5.3	4.2	5.1	0.2	5.9	4.7	4.6	0.2	5.3	4.2	4.2	0.2	5.3	3.8									46	1	45	260	36	1	34	350					3.6	0.0	3.7	3.4								
08/29/2008 00:40:00	4.7	0.2	5.3	4.2	4.9	0.2	5.3	4.4	4.5	0.2	4.9	3.8	4.1	0.2	4.6	3.4									47	1	47	260	38	1	33	350					3.7	0.0	3.7	3.7								
08/29/2008 00:50:00	4.8	0.2	5.3	4.2	4.9	0.2	5.6	4.4	4.4	0.3	4.9	3.8	4.0	0.3	4.9	3.4									47	2	45	260	38	2	35	350					3.8	0.0	4.2	3.7								
08/29/2008 01:00:00	5.1	0.2	5.3	4.6	5.3	0.2	5.9	4.7	4.9	0.2	5.3	4.2	4.4	0.3	4.9	3.8									46	2	47	260	36	1	35	350					3.9	0.0	4.2	3.7								
08/29/2008 01:10:00	4.9	0.2	5.3	4.6	5.1	0.2	5.6	4.7	4.6	0.2	5.3	4.2	4.1	0.2	4.6	3.8									46	1	44	260	37	0	33	350					3.8	0.0	4.2	3.7								
08/29/2008 01:20:00	4.7	0.2	4.9	4.2	4.8	0.2	5.3	4.4	4.4	0.2	4.9	4.2	4.1	0.2	4.6	3.8									47	1	44	260	37	0	33	350					3.7	0.0	3.9	3.7								
08/29/2008 01:30:00	4.7	0.2	5.3	4.2	4.7	0.2	5.3	4.4	4.3	0.2	4.9	3.8	4.2	0.2	4.6	3.8									49	2	52	260	38	1	38	350					3.7	0.0	3.9	3.7								
08/29/2008 01:40:00	5.1	0.2	5.3	4.9	5.4	0.2	5.9	4.7	5.0	0.3	5.3	4.2	4.7	0.3	5.3	4.2									54	2	50	260	44	2	43	350					3.8	0.0	4.2	3.7								
08/29/2008 01:50:00	5.7	0.3	6.5	4.9	5.9	0.2	6.4	5.6	5.5	0.2	6.1	4.9	5.1	0.2	5.7	4.6									54	1	54	260	46	2	42	350					4.3	0.1	4.7	4.2								
08/29/2008 02:00:00	5.7	0.3	6.1	4.9	5.7	0.2	6.2	5.3	5.3	0.2	5.7	4.6	4.8	0.2	5.3	4.2									53	1	54	260	44	1	42	350					4.3	0.0	4.7	4.4								
08/29/2008 02:10:00	5.3	0.2	5.7	4.9	5.4	0.2	5.9	5.0	5.0	0.2	5.3	4.6	4.7	0.2	5.3	4.2									55	1	53	260	45	0	42	350					4.5	0.0	4.7	4.4								
08/29/2008 02:20:00	5.2	0.2	5.7	4.9	5.3	0.2	5.6	4.7	4.9	0.2	5.3	4.2	4.6	0.2	4.9	4.2									56	1	56	260	45	1	43	350					4.3	0.0	4.4	4.4								
