SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
06/02/2008 00:00:00	2.9	0.3	3.8	2.3	2.9	0.3	3.9	2.1	2.7	0.3	3.8	1.9	2.7	0.2	3.4	2.3									144	5	149	260	131	5	135	350					11.9	0.0	12.1	11.8								
06/02/2008 00:10:00	3.5	0.3	4.2	1.9	3.5	0.3	4.4	2.7	3.2	0.3	4.2	2.3	3.1	0.3	4.2	2.3									155	11	155	260	144	11	144	350					11.7	0.0	11.8	11.6								
06/02/2008 00:20:00	3.5	0.8	5.7	2.3	3.7	0.9	6.2	2.1	3.3	0.8	5.7	1.5	3.3	0.8	5.7	1.5									174	12	187	260	164	12	175	350					11.5	0.0	11.6	11.3								
06/02/2008 00:30:00	2.3	0.9	4.2	1.1	3.0	0.6	4.4	2.1	2.3	0.7	4.2	1.1	2.1	0.8	4.2	1.1									191	8	173	260	177	5	169	350					11.0	0.0	11.3	10.8								
06/02/2008 00:40:00	2.1	0.5	3.4	1.1	3.3	0.4	4.4	2.7	2.4	0.4	3.8	1.5	2.0	0.5	3.8	1.1									197	2	185	260	181	2	183	350					10.8	0.0	11.0	10.8								
06/02/2008 00:50:00	2.5	0.4	3.8	1.5	3.9	0.3	4.7	3.0	2.8	0.4	3.8	1.9	2.6	0.5	3.8	1.1									196	4	189	260	188	4	189	350					10.8	0.0	10.8	10.8								
06/02/2008 01:00:00	3.0	0.6	4.2	1.1	3.7	0.3	4.4	3.0	3.1	0.5	3.8	1.5	2.9	0.5	3.8	1.5									207	5	216	260	201	5	207	350					10.8	0.0	11.0	10.8								
06/02/2008 01:10:00	3.6	0.3	4.6	2.6	4.0	0.3	4.7	3.3	3.6	0.3	4.6	2.6	3.5	0.3	4.2	2.6									213	3	216	260	207	3	208	350					10.8	0.0	11.0	10.5								
06/02/2008 01:20:00	3.6	0.3	4.2	3.0	3.9	0.3	4.4	3.3	3.5	0.3	4.2	2.6	3.4	0.3	4.2	2.6									216	4	216	260	210	3	204	350					10.5	0.0	10.8	10.2								
06/02/2008 01:30:00	3.1	0.2	3.8	2.6	3.4	0.2	3.9	3.0	3.0	0.2	3.4	2.6	2.9	0.2	3.4	2.3									219	4	223	260	213	2	217	350					10.4	0.0	10.5	10.2								
06/02/2008 01:40:00	2.8	0.3	3.8	1.9	3.2	0.2	3.9	2.7	2.8	0.3	3.4	2.3	2.8	0.3	3.4	1.9									211	4	214	260	209	3	212	350					10.4	0.0	10.5	10.2								
06/02/2008 01:50:00	2.6	0.4	3.4	1.5	3.3	0.3	3.9	2.7	2.7	0.3	3.4	1.9	2.7	0.3	3.8	1.5									208	5	213	260	201	2	203	350					10.3	0.0	10.5	10.2								
06/02/2008 02:00:00	2.8	0.2	3.4	2.3	2.9	0.3	3.6	2.4	2.6	0.3	3.4	1.9	2.5	0.2	3.0	1.9									213	3	214	260	204	1	203	350					10.3	0.0	10.5	10.2								
06/02/2008 02:10:00	2.7	0.2	3.4	1.9	2.8	0.2	3.3	2.1	2.5	0.2	3.0	1.9	2.4	0.2	3.0	1.9									215	5	212	260	205	0	206	350					10.4	0.0	10.5	10.2								
06/02/2008 02:20:00	2.7	0.2	3.4	1.9	3.0	0.2	3.3	2.4	2.6	0.2	3.0	1.9	2.5	0.2	3.4	1.9									213	3	221	260	206	0	206	350					10.3	0.0	10.5	10.2								
