SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/28/2008 00:00:00	10.1	0.2	10.7	9.9	10.2	0.2	10.7	9.9	9.3	0.2	9.5	8.8	9.3	0.2	9.9	8.8									339	1	337	260	338	0	341	350					1.4	0.0	1.5	1.3								
08/28/2008 00:10:00	10.3	0.2	10.7	9.5	10.3	0.2	11.0	9.9	9.5	0.2	9.9	9.1	9.5	0.2	9.9	9.1									340	1	337	260	338	1	341	350					1.5	0.0	1.5	1.3								
08/28/2008 00:20:00	10.2	0.2	10.7	9.9	10.2	0.2	10.7	9.9	9.5	0.2	9.9	9.1	9.4	0.2	9.9	8.8									340	1	337	260	339	1	341	350					1.6	0.0	2.0	1.3								
08/28/2008 00:30:00	10.0	0.2	10.3	9.5	10.0	0.2	10.4	9.6	9.5	0.3	9.9	8.8	9.2	0.2	9.5	8.8									342	0	339	260	339	0	342	350					1.6	0.0	1.7	1.3								
08/28/2008 00:40:00	10.1	0.2	10.7	9.5	10.3	0.2	10.7	9.9	9.5	0.2	9.9	9.1	9.2	0.2	9.9	8.8									340	1	337	260	338	1	342	350					1.7	0.0	2.0	1.5								
08/28/2008 00:50:00	10.2	0.3	10.7	9.5	10.2	0.3	10.7	9.6	9.3	0.4	9.9	8.8	9.0	0.4	9.9	7.6									338	1	338	260	337	1	342	350					1.6	0.0	2.0	1.5								
08/28/2008 01:00:00	10.0	0.2	10.3	9.5	10.0	0.2	10.4	9.6	9.0	0.2	9.5	8.4	8.7	0.3	9.1	8.0									336	0	334	260	335	0	338	350					1.4	0.0	1.5	1.3								
08/28/2008 01:10:00	9.7	0.2	10.3	9.5	10.0	0.2	10.4	9.3	9.0	0.2	9.5	8.4	8.7	0.3	9.1	8.0									335	0	333	260	334	0	336	350					1.4	0.0	1.5	1.3								
08/28/2008 01:20:00	9.4	0.2	9.9	8.8	9.5	0.4	10.2	8.7	8.5	0.4	9.1	7.6	8.1	0.4	9.1	7.2									334	1	332	260	334	1	336	350					1.4	0.0	1.5	1.3								
08/28/2008 01:30:00	9.0	0.2	9.5	8.4	8.8	0.3	9.6	8.2	7.9	0.3	8.4	6.8	7.6	0.4	8.4	6.5									334	1	331	260	334	1	335	350					1.2	0.2	1.5	0.8								
08/28/2008 01:40:00	9.6	0.3	10.3	8.8	9.7	0.3	10.4	8.7	8.7	0.4	9.5	7.6	8.5	0.3	9.5	8.0									334	0	332	260	333	1	336	350					0.9	0.0	1.0	0.8								
08/28/2008 01:50:00	10.2	0.2	10.7	9.9	10.3	0.2	10.7	9.6	9.5	0.2	9.9	8.8	9.0	0.4	9.9	8.0									333	0	329	260	332	1	335	350					1.2	0.1	1.5	1.0								
08/28/2008 02:00:00	10.0	0.2	10.3	9.5	9.9	0.3	10.7	9.3	9.0	0.4	9.9	8.0	8.6	0.4	9.5	7.6									333	0	330	260	332	1	333	350					1.2	0.0	1.5	1.0								
08/28/2008 02:10:00	9.7	0.2	9.9	9.1	9.7	0.3	10.2	8.7	8.8	0.3	9.1	8.0	8.3	0.4	9.1	7.2									332	0	330	260	330	1	335	350					1.0	0.0	1.3	0.8								
08/28/2008 02:20:00	9.2	0.2	9.5	8.8	9.1	0.2	9.6	8.4	8.2	0.2	8.8	7.6	8.0	0.3	8.4	6.8									331	1	329	260	329	1	333	350					0.8	0.0	1.0	0.6								
