SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/22/2008 00:00:00	6.2	0.3	6.8	5.3	6.4	0.3	7.0	5.9	5.9	0.3	6.5	5.3	5.6	0.3	6.5	4.9									70	3	74	260	58	3	57	350					12.0	0.0	12.1	11.8								
08/22/2008 00:10:00	6.7	0.2	7.2	6.1	7.0	0.2	7.3	6.4	6.5	0.2	6.8	6.1	6.3	0.2	6.8	5.7									73	1	73	260	63	1	60	350					12.3	0.0	12.4	12.1								
08/22/2008 00:20:00	7.0	0.2	7.6	6.5	7.3	0.2	7.9	6.7	6.8	0.3	7.6	6.1	6.4	0.3	7.2	5.7									72	1	70	260	60	2	59	350					12.1	0.0	12.4	11.8								
08/22/2008 00:30:00	7.3	0.2	7.6	6.5	7.4	0.3	8.2	6.7	7.0	0.3	7.6	6.1	6.5	0.4	7.2	5.3									75	2	73	260	63	2	60	350					12.0	0.0	12.1	11.8								
08/22/2008 00:40:00	7.3	0.3	8.0	6.1	7.2	0.3	7.9	6.2	6.8	0.4	7.6	5.7	6.2	0.3	7.2	5.3									71	3	63	260	58	4	59	350					11.8	0.0	12.1	11.6								
08/22/2008 00:50:00	7.3	0.3	7.6	6.1	7.2	0.3	7.9	6.7	6.7	0.3	7.2	5.7	6.2	0.3	6.8	5.7									64	3	69	260	51	3	51	350					11.6	0.0	11.6	11.3								
08/22/2008 01:00:00	7.2	0.4	8.0	6.1	7.1	0.4	8.2	6.4	6.6	0.4	7.6	5.7	6.1	0.5	7.2	4.9									61	2	61	260	49	2	46	350					11.1	0.0	11.3	10.8								
08/22/2008 01:10:00	7.2	0.2	8.0	6.5	7.2	0.3	7.9	6.4	6.7	0.3	7.6	5.7	6.0	0.4	6.8	4.9									59	3	54	260	45	3	45	350					11.1	0.1	11.3	10.8								
08/22/2008 01:20:00	7.2	0.2	7.6	6.5	7.3	0.2	7.6	6.7	6.8	0.2	7.2	6.1	6.3	0.3	6.8	5.7									67	2	65	260	54	3	49	350					11.2	0.0	11.3	10.8								
08/22/2008 01:30:00	6.7	0.3	7.2	5.7	6.7	0.3	7.3	6.2	6.1	0.3	6.8	5.3	5.7	0.3	6.5	4.9									64	3	63	260	49	3	46	350					11.0	0.0	11.3	10.8								
08/22/2008 01:40:00	6.3	0.3	6.8	5.7	6.2	0.2	6.7	5.9	5.7	0.3	6.5	5.3	5.3	0.3	6.1	4.6									65	3	56	260	50	3	44	350					10.6	0.0	11.0	10.5								
08/22/2008 01:50:00	6.4	0.3	6.8	5.3	6.1	0.3	6.7	5.6	5.7	0.3	6.5	4.9	5.2	0.3	6.1	4.6									70	3	70	260	55	3	53	350					10.6	0.0	10.8	10.5								
08/22/2008 02:00:00	6.6	0.2	7.2	6.1	6.4	0.2	7.0	5.9	5.9	0.3	6.8	4.9	5.5	0.2	6.1	4.9									71	3	71	260	56	4	52	350					10.6	0.0	10.8	10.5								
08/22/2008 02:10:00	6.5	0.2	7.2	5.7	6.5	0.2	7.0	6.2	6.0	0.3	6.8	5.3	5.6	0.3	6.1	4.9									70	3	70	260	55	3	49	350					10.7	0.0	10.8	10.5								
08/22/2008 02:20:00	6.4	0.2	6.8	5.7	6.5	0.2	7.0	5.9	6.0	0.2	6.5	5.3	5.8	0.3	6.5	4.9									73	2	71	260	60	2	56	350					11.2	0.1	11.3	10.8								
