SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-023

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	4
Description	Custom
Details	
Serial Number	SN:
Height	m
Scale Factor	0.021
Offset	0
Units	volts

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	4
Description	RH-5 Humidity %RH
Details	
Serial Number	.adg
Height	1    m
Scale Factor	0.098
Offset	0
Units	%RH

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
01/20/2009 00:00:00	13.9	0.5	15.3	12.2	13.1	0.6	14.7	11.0	12.8	0.7	14.5	10.3	11.9	0.7	13.3	9.1									72	3	69	260	61	4	59	350	13.4	0.0	13.5	13.4	-9.9	0.0	-9.6	-10.0					61.6	0.3	62.5	61.1
01/20/2009 00:10:00	14.2	0.6	15.6	11.8	13.2	0.7	15.0	11.0	12.9	0.8	14.9	10.7	11.8	0.8	14.1	9.5									72	3	75	260	61	5	64	350	13.4	0.0	13.5	13.4	-9.7	0.1	-9.2	-10.0					60.8	0.8	62.3	59.5
01/20/2009 00:20:00	14.2	0.6	15.3	12.2	13.4	0.7	15.0	10.7	13.1	0.8	14.9	9.9	12.2	0.8	14.1	9.5									72	3	73	260	62	5	58	350	13.4	0.0	13.5	13.4	-9.4	0.0	-9.2	-9.6					59.2	0.2	59.5	58.7
01/20/2009 00:30:00	13.6	0.6	14.9	11.5	12.7	0.7	14.2	10.4	12.4	0.8	14.1	9.1	11.5	0.9	13.7	9.1									73	3	72	260	63	5	54	350	13.4	0.0	13.5	13.4	-9.5	0.0	-9.4	-9.6					59.5	0.2	60.0	59.0
01/20/2009 00:40:00	13.3	0.5	14.5	11.5	12.7	0.7	14.2	10.7	12.3	0.7	14.1	10.3	11.3	0.8	13.0	9.5									74	3	74	260	64	4	58	350	13.4	0.0	13.4	13.4	-9.5	0.0	-9.4	-9.6					59.1	0.1	59.3	58.9
01/20/2009 00:50:00	13.2	0.4	14.1	11.1	12.5	0.6	13.6	10.7	12.2	0.6	13.3	9.9	11.1	0.8	13.0	8.8									74	2	74	260	64	4	69	350	13.4	0.0	13.4	13.4	-9.5	0.0	-9.2	-9.6					59.2	0.1	59.5	58.9
01/20/2009 01:00:00	13.4	0.5	14.9	11.5	12.6	0.7	13.9	9.9	12.2	0.7	13.7	9.1	11.2	0.9	13.0	8.4									73	2	76	260	64	4	55	350	13.4	0.0	13.5	13.4	-9.5	0.0	-9.4	-9.6					59.4	0.2	59.8	59.0
01/20/2009 01:10:00	14.1	0.5	15.3	12.2	13.2	0.7	15.0	11.3	12.9	0.8	14.9	10.3	11.8	0.9	13.7	9.1									73	2	68	260	64	4	63	350	13.4	0.0	13.4	13.4	-9.4	0.0	-9.2	-9.6					58.9	0.4	59.5	58.1
01/20/2009 01:20:00	14.3	0.4	15.3	12.6	13.4	0.7	14.7	11.0	13.1	0.7	14.9	10.3	11.9	1.0	14.1	9.1									73	3	73	260	64	4	63	350	13.4	0.0	13.5	13.4	-9.2	0.0	-8.8	-9.4					57.6	0.4	58.2	56.7
01/20/2009 01:30:00	14.0	0.8	15.3	10.3	13.0	1.0	15.0	9.9	12.7	1.1	14.9	9.5	11.7	1.0	14.5	8.8									75	3	76	260	64	6	63	350	13.4	0.0	13.4	13.4	-8.9	0.0	-8.8	-9.2					56.0	0.4	56.8	55.2
01/20/2009 01:40:00	14.2	0.5	15.3	12.6	13.4	0.7	14.7	11.3	13.0	0.7	14.5	10.7	12.1	0.8	14.5	9.9									71	3	73	260	61	4	64	350	13.4	0.0	13.4	13.4	-9.2	0.2	-8.8	-9.6					56.7	0.9	58.2	55.3
