SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/05/2008 00:00:00	4.7	0.4	5.7	3.0	4.2	0.4	5.9	3.3	4.2	0.5	5.7	3.0	3.7	0.8	6.1	1.9									112	7	125	260	102	7	96	350					9.9	0.0	10.0	9.7								
09/05/2008 00:10:00	4.9	0.3	5.7	4.2	4.4	0.4	5.3	3.0	4.2	0.4	5.3	3.0	3.5	0.6	4.9	1.5									109	6	100	260	97	8	87	350					9.9	0.0	10.0	9.7								
09/05/2008 00:20:00	4.8	0.3	5.7	3.8	4.2	0.4	5.0	3.3	4.2	0.4	5.3	3.4	3.7	0.5	4.6	2.6									115	4	114	260	103	3	100	350					9.7	0.0	10.0	9.7								
09/05/2008 00:30:00	4.8	0.3	5.7	3.8	4.1	0.3	5.0	3.3	4.3	0.3	5.3	3.4	4.0	0.5	4.9	2.6									117	4	127	260	105	3	102	350					9.7	0.0	10.0	9.7								
09/05/2008 00:40:00	5.2	0.3	6.1	4.6	4.1	0.3	5.0	3.3	4.7	0.3	5.3	3.4	4.4	0.5	5.7	3.0									119	3	121	260	109	3	105	350					9.8	0.0	10.0	9.7								
09/05/2008 00:50:00	5.3	0.3	6.1	4.6	4.0	0.2	4.7	3.3	4.8	0.3	5.3	3.8	4.5	0.4	5.3	3.4									118	2	121	260	108	2	105	350					9.9	0.0	10.0	9.7								
09/05/2008 01:00:00	5.4	0.2	5.7	4.9	4.2	0.4	5.3	3.6	5.0	0.2	5.3	4.6	4.7	0.4	5.3	3.4									119	2	118	260	108	3	103	350					9.9	0.0	10.0	9.7								
09/05/2008 01:10:00	5.0	0.4	5.7	3.8	4.4	0.4	5.3	3.0	4.5	0.5	5.3	2.3	3.9	0.5	4.9	2.3									115	4	114	260	103	4	100	350					9.8	0.0	10.0	9.7								
09/05/2008 01:20:00	4.1	0.4	4.9	3.0	3.7	0.3	4.4	3.0	3.6	0.5	4.6	1.9	3.3	0.5	4.2	2.3									113	6	112	260	100	6	106	350					9.7	0.0	9.7	9.5								
09/05/2008 01:30:00	3.6	0.4	4.6	2.6	3.3	0.3	4.1	2.4	2.8	0.5	4.2	1.1	2.4	0.5	3.8	0.7									109	6	105	260	94	6	90	350					9.5	0.0	9.7	9.2								
09/05/2008 01:40:00	3.2	0.3	4.2	2.3	2.9	0.3	3.6	2.1	2.4	0.5	3.4	1.1	2.2	0.5	3.4	0.7									109	6	117	260	94	7	89	350					9.2	0.0	9.5	9.2								
09/05/2008 01:50:00	3.3	0.3	4.2	1.9	3.1	0.4	3.9	2.1	2.6	0.5	3.8	0.7	2.2	0.6	3.4	0.7									103	5	97	260	90	6	91	350					9.2	0.0	9.2	9.2								
09/05/2008 02:00:00	2.9	0.3	3.8	1.9	2.9	0.3	3.3	2.1	2.4	0.3	3.0	1.5	2.3	0.3	3.0	1.5									111	6	105	260	97	4	92	350					9.2	0.0	9.2	9.2								
09/05/2008 02:10:00	2.6	0.2	3.0	1.9	2.9	0.2	3.3	2.4	2.2	0.3	3.0	1.5	2.2	0.3	3.0	1.1									106	4	111	260	92	3	96	350					9.2	0.0	9.2	9.2								
09/05/2008 02:20:00	2.4	0.2	3.0	1.9	2.7	0.2	3.0	2.1	2.0	0.3	2.6	1.5	2.2	0.3	2.6	1.5									107	4	109	260	92	1	89	350					9.2	0.0	9.2	9.2								
